N,N2,N3,M,All,X100
,,,14.614,16.694,
,,,13.925,16.199,
,,,13.69,16.207,
,,,14.47,15.947,
,,,14.767,16.262,
,,,15.055,15.764,
,,,14.3,16.057,
,,,14.4,15.718,
,,,15.349,15.843,
,,,14.622,15.953,
,,,13.93,15.594,
,,,13.731,15.97,
,,,15.233,16.049,
,,,14.07,15.762,
,,,14.764,15.585,
,,,16.01,16.006,
,,,15.07,16.127,
,,,14.241,15.643,
,,,14.069,16.189,
,,,14.044,16.079,
,,,14.798,16.059,
,,,14.961,15.397,
,,,13.676,15.906,
,,,13.574,16.225,
,,,13.421,15.597,
,,,14.002,15.96,
,,,15.308,16.159,
,,,14.75,15.762,
,,,16.46,16.414,
,,,14.643,16.081,
,,,15.09,16.168,
,,,16.534,16.071,
,,,13.599,15.685,
,,,14.975,16.182,
,,,15.044,15.74,
,,,13.647,15.759,
,,,14.108,15.414,
,,,15.038,15.597,
,,,15.755,16.037,
,,,15.597,15.968,
,,,14.764,15.588,
,,,14.657,15.941,
,,,16.184,15.366,
,,,14.161,15.746,
,,,14.796,16.006,
,,,13.61,15.866,
,,,15.236,15.866,
,,,15.9,16.343,
,,,14.525,15.997,
,,,14.969,16.278,
,,,13.946,16.184,
,,,15.446,16.269,
,,,13.939,15.9,
,,,14.625,15.749,
,,,14.506,15.758,
,,,14.342,15.577,
,,,16.183,15.957,
,,,13.861,15.974,
,,,14.041,16.088,
,,,14.461,16.036,
,,,13.961,15.9,
,,,14.805,15.961,
,,,13.872,16.101,
,,,14.382,16.259,
,,,13.949,15.911,
,,,14.327,15.697,
,,,14.105,16.029,
,,,13.846,16.012,
,,,15.599,16.069,
,,,15.222,15.895,
,,,15.192,16.254,
,,,14.622,15.744,
,,,15.645,16.107,
,,,13.753,15.878,
,,,13.885,14.766,
,,,14.194,15.799,
,,,14.379,15.515,
,,,15.762,15.361,
,,,15.224,15.476,
,,,14.195,15.666,
,,,14.631,15.8,
,,,14.109,15.829,
,,,13.834,15.378,
,,,13.103,15.403,
,,,13.682,15.945,
,,,14.149,15.354,
,,,13.13,15.921,
,,,15.074,15.584,
,,,14.747,15.789,
,,,14.844,15.587,
,,,13.186,15.462,
,,,15.623,15.416,
,,,13.863,15.44,
,,,14.163,15.421,
,,,14.793,15.683,
,,,14.654,15.659,
,,,14.244,15.639,
,,,16.297,15.47,
,,,15.438,15.7,
,,,15.014,15.749,
,,,15.955,15.772,
,,,14.535,15.336,
,,,15.245,15.949,
,,,15.534,15.57,
,,,15.503,15.572,
,,,15.211,16.136,
,,,13.894,15.429,
,,,14.011,15.456,
,,,15.371,15.218,
,,,15.027,15.754,
,,,16.122,15.988,
,,,14.847,16.158,
,,,13.896,15.532,
,,,14.615,16.202,
,,,14.192,15.631,
,,,14.097,15.821,
,,,14.234,15.743,
,,,14.373,15.854,
,,,14.477,15.955,
,,,14.259,15.703,
,,,15.225,13.946,
,,,14.787,15.397,
,,,13.89,15.855,
,,,13.792,15.307,
,,,14.54,15.36,
,,,14.356,15.41,
,,,14.123,15.63,
,,,13.91,15.955,
,,,15.072,15.899,
,,,13.94,15.801,
,,,13.863,15.371,
,,,15.661,15.642,
,,,14.168,16.114,
,,,14.12,15.914,
,,,15.125,15.675,
,,,14.309,15.999,
,,,14.835,16.284,
,,,14.184,15.965,
,,,13.595,15.999,
,,,15.02,16.297,
,,,13.498,16.096,
,,,14.147,16.01,
,,,15.782,15.683,
,,,13.682,16.27,
,,,16.581,16.004,
,,,14.345,15.272,
,,,15.088,15.841,
,,,14.242,16.444,
,,,13.883,16.071,
,,,14.454,15.512,
,,,13.555,15.88,
,,,14.421,15.691,
,,,13.38,15.868,
,,,16.049,16.158,
,,,13.849,16.568,
,,,14.268,15.823,
,,,16.083,16.286,
,,,13.977,16.12,
,,,13.543,16.183,
,,,14.437,16.4,
,,,15.4,16.148,
,,,16.343,16.301,
,,,12.823,16.176,
,,,15.895,15.952,
,,,14.808,15.82,
,,,14.138,15.682,
,,,13.387,16.474,
,,,15.697,15.924,
,,,13.335,15.79,
,,,13.866,16.062,
,,,13.76,15.76,
,,,15.033,16.288,
,,,14,15.957,
,,,14.838,16.08,
,,,13.624,16.139,
,,,14.474,15.61,
,,,13.086,15.755,
,,,13.74,16.103,
,,,14.518,15.736,
,,,14.406,16.013,
,,,14.152,15.845,
,,,14.157,16.174,
,,,14.36,15.663,
,,,15.687,16.009,
,,,16.273,15.985,
,,,15.371,16.217,
,,,14.135,16.034,
,,,15.056,15.708,
,,,13.881,16.349,
,,,14.815,15.926,
,,,14.268,15.716,
,,,13.787,16.191,
,,,13.42,15.812,
,,,15.418,16.198,
,,,15.413,16.168,
,,,16.296,16.122,
,,,15.843,16.029,
,,,14.103,15.99,
,,,14.391,16.11,
,,,13.915,15.868,
,,,14.809,15.816,
,,,15.188,15.786,
,,,14.935,15.978,
,,,14.983,16.021,
,,,15.435,15.78,
,,,14.428,15.595,
,,,14.032,16.03,
,,,14.457,15.742,
,,,15.089,15.789,
,,,13.246,16.014,
,,,15.503,15.638,
,,,13.235,16.006,
,,,13.449,16.049,
,,,14.137,15.801,
,,,14.136,15.984,
,,,14.137,15.913,
,,,14.657,16.193,
,,,14.169,14.697,
,,,14.456,15.719,
,,,15.921,15.786,
,,,13.683,15.284,
,,,15.107,15.336,
,,,14.59,15.566,
,,,15.376,15.518,
,,,14.513,15.145,
,,,13.751,15.323,
,,,14.886,15.411,
,,,13.926,15.137,
,,,15.533,15.083,
,,,14.501,15.011,
,,,13.72,15.503,
,,,14.415,15.041,
,,,13.745,15.224,
,,,13.17,15.253,
,,,14.912,15.179,
,,,13.76,15.089,
,,,14.464,15.371,
,,,14.576,15.227,
,,,13.767,15.259,
,,,13.151,14.595,
,,,14.354,15.382,
,,,15.246,15.136,
,,,14.715,15.035,
,,,14.565,15.4,
,,,13.778,15.392,
,,,13.611,15.246,
,,,15.806,15.499,
,,,14.644,15.068,
,,,13.849,15.662,
,,,14.535,15.045,
,,,14.839,15.629,
,,,13.96,15.426,
,,,14.37,15.418,
,,,14.422,15.428,
,,,15.208,15.491,
,,,14.128,15.906,
,,,14.288,15.661,
,,,13.228,15.876,
,,,14.406,15.701,
,,,15.011,15.508,
,,,13.459,15.376,
,,,14.379,15.421,
,,,14.2,15.59,
,,,15.841,15.624,
,,,14.408,15.379,
,,,13.261,15.269,
,,,13.846,15.251,
,,,14.983,15.364,
,,,15.858,14.876,
,,,14.13,14.862,
,,,14.849,15.121,
,,,14.295,15.502,
,,,15.177,15.307,
,,,14.756,15.009,
,,,14.199,15.26,
,,,13.556,15.121,
,,,13.69,15.331,
,,,13.377,15.135,
,,,15.426,15.535,
,,,16.001,15.317,
,,,13.225,15.295,
,,,14.05,15.066,
,,,13.471,15.39,
,,,13.17,15.447,
,,,14.284,15.606,
,,,13.433,15.624,
,,,13.989,15.258,
,,,15.031,15.649,
,,,13.972,15.693,
,,,13.822,15.455,
,,,15.926,15.67,
,,,15.786,15.728,
,,,15.985,15.653,
,,,15.092,15.938,
,,,16.367,15.668,
,,,15.122,15.283,
,,,15.014,15.59,
,,,13.734,15.296,
,,,14.092,15.787,
,,,14.409,15.749,
,,,14.308,15.81,
,,,14.717,16.01,
,,,14.851,15.769,
,,,15.436,15.936,
,,,13.767,16.106,
,,,15.755,15.591,
,,,13.294,16.223,
,,,13.311,15.748,
,,,16.006,16.072,
,,,13.772,16.258,
,,,14.331,16.15,
,,,14.644,15.859,
,,,14.7,16.124,
,,,15.275,16.262,
,,,14.275,16.281,
,,,13.668,16.285,
,,,13.391,16.006,
,,,14.88,15.659,
,,,16.225,15.998,
,,,14.127,16.4,
,,,14.733,16.211,
,,,14.842,16.354,
,,,14.97,15.762,
,,,15.799,15.326,
,,,14.338,16.344,
,,,14.09,16.353,
,,,15.491,16.533,
,,,14.781,16.578,
,,,14.135,15.855,
,,,13.637,14.132,
,,,15.063,15.926,
,,,14.514,16.851,
,,,16.029,16.534,
,,,14.338,16.197,
,,,14.461,16.164,
,,,14.85,16.296,
,,,13.493,16.368,
,,,14.985,15.726,
,,,13.898,16.101,
,,,13.708,15.991,
,,,13.827,16.384,
,,,14.474,16.093,
,,,15.308,16.233,
,,,14.742,16.217,
,,,14.403,16.269,
,,,13.841,16.367,
,,,16.258,16.078,
,,,15.024,16.288,
,,,13.796,16.073,
,,,13.317,15.809,
,,,15.725,16.182,
,,,13.894,16.093,
,,,16.071,15.822,
,,,15.384,16.089,
,,,15.4,15.942,
,,,15.179,16.054,
,,,14.869,16.159,
,,,14.468,16.453,
,,,14.695,16.347,
,,,14.353,15.461,
,,,14.632,15.898,
,,,14.64,16.101,
,,,14.892,15.681,
,,,14.154,16.581,
,,,13.272,16.15,
,,,16.241,16.095,
,,,13.951,16.379,
,,,13.794,15.798,
,,,15.057,16.248,
,,,14.342,16.016,
,,,15.136,16.564,
,,,14.702,16.216,
,,,13.938,16.289,
,,,13.761,16.46,
,,,16.036,16.041,
,,,14.214,16.381,
,,,15.639,15.4,
,,,13.922,15.912,
,,,14.482,15.818,
,,,14.706,15.626,
,,,14.335,16.429,
,,,13.531,16.322,
,,,14.626,16.267,
,,,14.58,16.083,
,,,15.812,16.109,
,,,14.08,15.95,
,,,14.315,16.126,
,,,14.063,15.828,
,,,14.085,15.951,
,,,15.845,15.93,
,,,13.931,15.781,
,,,14.365,15.599,
,,,13.46,16.042,
,,,15.224,16.085,
,,,14.005,16.106,
,,,14.415,16.219,
,,,13.894,15.983,
,,,14.225,16.726,
,,,15.192,16.241,
,,,13.603,16.097,
,,,14.749,16.493,
,,,14.169,16.528,
,,,16.216,16.005,
,,,14.255,16.298,
,,,16.079,16.143,
,,,13.725,15.973,
,,,15.746,16.283,
,,,14.064,16.325,
,,,14.769,16.234,
,,,15.534,16.345,
,,,14.429,16.337,
,,,14.242,16.356,
,,,13.644,15.983,
,,,14.155,15.885,
,,,14.248,15.879,
,,,14.57,16.163,
,,,13.981,16.288,
,,,15.588,15.954,
,,,14.629,15.963,
,,,14.226,16.057,
,,,13.399,15.979,
,,,14.647,15.694,
,,,14.318,16.322,
,,,13.858,15.948,
,,,13.84,15.861,
,,,15.135,15.976,
,,,13.636,16.09,
,,,15.001,16.078,
,,,13.402,16.257,
,,,15.273,16.313,
,,,14.138,13.071,
,,,14.833,14.646,
,,,13.185,14.585,
,,,15.708,14.131,
,,,14.192,14.64,
,,,14.251,14.802,
,,,14.816,15.031,
,,,16.444,14.782,
,,,14.466,13.987,
,,,15.181,14.878,
,,,14.132,14.833,
,,,14.491,14.716,
,,,14.036,14.997,
,,,16.46,14.179,
,,,13.257,14.829,
,,,13.158,15.049,
,,,15.048,14.495,
,,,13.996,14.87,
,,,13.024,15.034,
,,,15.07,15.217,
,,,14.108,14.918,
,,,14.764,15.208,
,,,16.851,15.371,
,,,14.124,15.362,
,,,15.128,15.295,
,,,14.088,15.087,
,,,16.01,14.969,
,,,14.436,15.003,
,,,14.694,15.28,
,,,13.757,15.234,
,,,14.752,15.265,
,,,13.834,15.213,
,,,15.556,14.978,
,,,14.677,14.014,
,,,13.846,14.89,
,,,15.177,14.913,
,,,14.136,14.927,
,,,15.911,14.686,
,,,13.784,15.418,
,,,15.749,14.431,
,,,14.962,14.563,
,,,15.578,15.002,
,,,14.474,15.12,
,,,13.672,15.065,
,,,14.595,15.022,
,,,13.459,15.22,
,,,14.133,14.818,
,,,15.183,14.833,
,,,13.128,15.147,
,,,13.609,15.141,
,,,13.771,14.54,
,,,13.67,14.587,
,,,13.968,14.271,
,,,15.782,15.089,
,,,15.046,14.605,
,,,14.547,14.231,
,,,14.706,14.764,
,,,14.311,14.366,
,,,13.745,14.751,
,,,13.095,15.157,
,,,15.217,14.772,
,,,13.84,14.864,
,,,14.036,14.73,
,,,14.341,14.978,
,,,14.191,14.671,
,,,15.748,14.515,
,,,14.073,14.286,
,,,13.571,15.217,
,,,14.667,14.937,
,,,15.957,14.17,
,,,13.983,14.4,
,,,13.751,14.593,
,,,13.637,14.173,
,,,13.166,14.215,
,,,14.563,14.56,
,,,15.272,14.971,
,,,15.197,14.246,
,,,14.837,14.427,
,,,15.585,14.652,
,,,13.343,14.769,
,,,14.506,14.412,
,,,15.185,15.014,
,,,15.304,14.259,
,,,14.318,14.331,
,,,16.12,14.505,
,,,14.756,14.664,
,,,14.473,14.848,
,,,13.72,14.699,
,,,13.233,15.213,
,,,14.277,14.761,
,,,13.962,14.559,
,,,14.496,14.872,
,,,14.175,15.113,
,,,15.143,14.58,
,,,14.882,14.849,
,,,13.935,14.812,
,,,15.225,14.587,
,,,14.065,14.612,
,,,13.771,14.522,
,,,13.8,14.186,
,,,13.72,15.169,
,,,14.53,15.304,
,,,15.28,14.825,
,,,13.069,15.192,
,,,13.787,14.752,
,,,12.914,15.053,
,,,15.806,14.441,
,,,14.247,14.4,
,,,14.818,14.249,
,,,14.659,14.706,
,,,14.622,14.717,
,,,14.735,14.641,
,,,14.143,14.95,
,,,13.67,14.631,
,,,15.224,14.868,
,,,13.936,14.709,
,,,14.945,15.033,
,,,14.734,14.378,
,,,14.616,14.195,
,,,15.997,14.633,
,,,14.508,14.623,
,,,16.1,15.031,
,,,13.853,14.828,
,,,14.292,14.325,
,,,14.195,15.013,
,,,15.233,14.793,
,,,14.414,14.414,
,,,14.664,15.027,
,,,15.82,14.437,
,,,13.54,14.817,
,,,15.226,15.381,
,,,13.81,14.68,
,,,14.423,14.827,
,,,15.371,14.177,
,,,13.937,14.496,
,,,13.631,14.922,
,,,15.364,15.338,
,,,14.326,15.005,
,,,14.848,14.931,
,,,15.379,14.734,
,,,13.533,15.515,
,,,13.195,14.643,
,,,13.117,15.042,
,,,13.107,14.661,
,,,13.709,14.927,
,,,15.085,14.843,
,,,14.701,15.305,
,,,14.53,14.628,
,,,16.344,14.988,
,,,15.624,14.808,
,,,13.983,14.506,
,,,15.853,14.559,
,,,13.552,15.169,
,,,13.84,15.17,
,,,15.594,15.297,
,,,14.337,14.91,
,,,13.281,15.102,
,,,14.015,15.225,
,,,14.431,14.794,
,,,13.387,15.365,
,,,14.759,14.693,
,,,14.68,14.9,
,,,14.257,15.14,
,,,13.152,14.579,
,,,14.473,14.768,
,,,14.673,14.995,
,,,14.749,14.585,
,,,14.081,15.164,
,,,15.799,15.057,
,,,13.503,14.33,
,,,13.215,15.046,
,,,15.337,14.829,
,,,14.112,14.904,
,,,14.028,14.731,
,,,15.12,14.869,
,,,15.162,15.547,
,,,14.257,13.794,
,,,14.099,14.906,
,,,14.232,14.112,
,,,14.6,14.261,
,,,14.157,14.335,
,,,14.487,14.563,
,,,15.223,14.338,
,,,13.634,14.711,
,,,14.862,14.338,
,,,14.244,14.001,
,,,14.123,14.675,
,,,13.85,14.667,
,,,14.169,14.789,
,,,16.091,14.319,
,,,15.134,14.325,
,,,14.447,14.518,
,,,14.022,14.599,
,,,15.822,14.061,
,,,13.406,14.647,
,,,14.718,14.366,
,,,16.283,13.934,
,,,15.645,14.551,
,,,15.072,14.823,
,,,14.643,14.585,
,,,15.125,14,
,,,13.965,14.203,
,,,15.411,14.48,
,,,14.016,14.282,
,,,14.134,14.431,
,,,15.728,14.493,
,,,15.114,14.888,
,,,14.008,14.138,
,,,15.518,14.68,
,,,13.281,14.68,
,,,13.492,14.179,
,,,13.963,14.865,
,,,13.692,14.667,
,,,14.843,14.409,
,,,15.345,15.128,
,,,14.382,14.621,
,,,15.128,14.496,
,,,14.153,14.649,
,,,14.693,14.23,
,,,14.531,14.819,
,,,15.991,15.26,
,,,14.532,14.525,
,,,16.036,14.871,
,,,15.276,14.963,
,,,14.873,14.703,
,,,12.688,14.323,
,,,14.151,14.071,
,,,13.844,14.805,
,,,13.711,14.242,
,,,15.047,14.461,
,,,14.302,15.216,
,,,13.545,15.883,
,,,14.654,15.072,
,,,14.173,14.977,
,,,14.724,15.269,
,,,14.723,15.305,
,,,14.788,15.181,
,,,14.088,15.861,
,,,14.851,15.595,
,,,13.782,15.585,
,,,13.714,13.427,
,,,14.637,13.417,
,,,15.26,13.255,
,,,14.092,13.578,
,,,14.659,13.698,
,,,14.139,13.12,
,,,14.796,13.839,
,,,14.63,13.733,
,,,13.788,13.67,
,,,15.299,13.906,
,,,13.782,13.513,
,,,14.184,13.759,
,,,15.25,13.802,
,,,15.604,13.724,
,,,13.799,13.306,
,,,14.692,13.823,
,,,13.876,13.72,
,,,15.317,14.079,
,,,13.526,13.618,
,,,14.306,13.294,
,,,14.11,13.68,
,,,14.589,13.921,
,,,14.075,13.308,
,,,15.458,14.064,
,,,14.556,13.515,
,,,13.212,13.769,
,,,14.751,14.108,
,,,14.331,13.615,
,,,13.178,13.249,
,,,14.437,13.511,
,,,15.176,13.483,
,,,15.212,13.499,
,,,13.228,13.796,
,,,14.463,14.037,
,,,13.064,13.994,
,,,13.079,13.597,
,,,14.26,13.51,
,,,15.295,13.494,
,,,14.153,13.631,
,,,14.474,13.466,
,,,15.094,13.964,
,,,15.266,13.607,
,,,14.654,13.338,
,,,14.4,13.916,
,,,13.142,14.011,
,,,13.515,13.366,
,,,14.647,13.482,
,,,15.182,13.603,
,,,14.556,13.67,
,,,13.357,13.938,
,,,15.74,13.926,
,,,13.319,14.122,
,,,13.756,14.041,
,,,15.204,14.279,
,,,14.234,14.147,
,,,15.476,13.875,
,,,15.033,13.938,
,,,13.953,13.31,
,,,14.017,14.412,
,,,15.109,13.714,
,,,14.387,13.771,
,,,15.475,13.793,
,,,13.802,14.082,
,,,14.141,13.965,
,,,14.559,13.571,
,,,13.979,14.033,
,,,14.104,13.822,
,,,14.146,14.098,
,,,15.088,13.989,
,,,14.792,14.061,
,,,13.702,13.555,
,,,15.381,13.849,
,,,14.013,13.846,
,,,15.177,13.594,
,,,13.087,13.63,
,,,15.088,13.354,
,,,15.624,13.259,
,,,13.445,13.317,
,,,14.569,13.339,
,,,13.535,13.67,
,,,15.026,13.542,
,,,13.578,13.103,
,,,14.336,13.297,
,,,15.634,13.871,
,,,13.424,13.622,
,,,13.795,13.72,
,,,13.513,13.762,
,,,14.17,13.639,
,,,14.75,14.016,
,,,14.312,14.119,
,,,14.058,13.641,
,,,14.108,13.199,
,,,13.404,14.2,
,,,14.78,13.682,
,,,14.275,13.772,
,,,15.102,13.804,
,,,14.787,13.765,
,,,13.996,13.925,
,,,15.098,14.184,
,,,15.701,14.103,
,,,14.701,14.203,
,,,14.253,14.354,
,,,16.159,14.266,
,,,13.852,13.784,
,,,14.451,13.575,
,,,13.515,13.964,
,,,14.515,13.929,
,,,13.591,13.395,
,,,14.325,13.973,
,,,14.864,13.832,
,,,15.002,13.293,
,,,13.8,13.421,
,,,15.561,13.71,
,,,14.196,13.389,
,,,13.291,13.499,
,,,14.847,13.684,
,,,15.998,13.316,
,,,14.149,14.136,
,,,14.698,13.111,
,,,15.296,13.702,
,,,13.574,13.343,
,,,14.919,13.364,
,,,15.186,13.508,
,,,13.279,13.585,
,,,14.023,13.927,
,,,15.513,13.524,
,,,13.925,14.138,
,,,13.695,13.748,
,,,15.568,13.876,
,,,14.109,13.752,
,,,16.283,13.579,
,,,14.355,13.939,
,,,13.853,13.983,
,,,14.034,14.028,
,,,15.173,13.722,
,,,14.069,14.04,
,,,14.2,13.31,
,,,14.013,13.647,
,,,14.088,13.186,
,,,14.436,13.989,
,,,14.325,13.152,
,,,15.068,13.279,
,,,15.823,13.731,
,,,15.314,13.57,
,,,16.726,13.832,
,,,14.81,13.514,
,,,14.3,13.683,
,,,14.069,13.672,
,,,14.823,13.547,
,,,14.414,13.977,
,,,14.633,13.775,
,,,15.369,14.142,
,,,13.811,13.933,
,,,13.348,14.132,
,,,14.672,13.751,
,,,15.042,13.806,
,,,14.636,13.639,
,,,16.202,13.963,
,,,13.509,13.951,
,,,14.521,13.351,
,,,16.158,13.42,
,,,13.892,13.343,
,,,15.01,13.82,
,,,14.336,13.261,
,,,14.172,13.741,
,,,14.354,13.566,
,,,13.861,14.004,
,,,13.71,13.472,
,,,14.068,13.506,
,,,13.932,13.492,
,,,13.618,13.357,
,,,14.403,13.883,
,,,15.483,13.532,
,,,13.28,13.356,
,,,15.215,13.128,
,,,13.989,13.511,
,,,14.663,13.832,
,,,14.759,13.17,
,,,15.392,13.381,
,,,13.792,13.288,
,,,15.48,13.649,
,,,15.025,13.463,
,,,13.849,13.426,
,,,13.808,13.406,
,,,14.087,13.23,
,,,15.314,13.204,
,,,14.357,13.462,
,,,15.163,14.13,
,,,13.934,13.501,
,,,13.921,13.957,
,,,13.593,13.531,
,,,14.091,13.311,
,,,14.848,13.634,
,,,14.914,13.883,
,,,13.731,13.339,
,,,14.088,13.122,
,,,13.192,13.955,
,,,13.123,13.205,
,,,13.754,13.537,
,,,14.94,13.26,
,,,14.433,13.536,
,,,14.114,13.663,
,,,14.062,13.541,
,,,15.599,13.809,
,,,14.883,13.946,
,,,14.122,13.754,
,,,15.231,13.446,
,,,13.629,13.524,
,,,14.966,13.652,
,,,13.82,13.849,
,,,13.967,13.611,
,,,15.169,13.78,
,,,14.003,13.192,
,,,14.236,14.051,
,,,14.053,13.623,
,,,13.655,13.464,
,,,16.206,13.578,
,,,14.286,13.708,
,,,14.936,13.753,
,,,14.837,13.634,
,,,15.976,13.977,
,,,13.895,13.797,
,,,14.701,13.592,
,,,14.426,13.375,
,,,14.945,13.518,
,,,14.441,13.803,
,,,14.198,13.644,
,,,15.377,13.572,
,,,14.36,13.593,
,,,14.243,13.863,
,,,14.6,13.552,
,,,14.054,13.541,
,,,13.632,13.578,
,,,15.455,13.846,
,,,14.879,13.462,
,,,15.681,13.128,
,,,14.522,13.222,
,,,15.013,13.7,
,,,13.65,13.18,
,,,16.15,13.419,
,,,14.451,13.421,
,,,15.895,13.648,
,,,14.267,13.148,
,,,14.993,13.278,
,,,13.297,13.573,
,,,13.546,13.553,
,,,14.515,13.787,
,,,14.922,13.555,
,,,15.531,13.07,
,,,13.965,13.566,
,,,15.56,13.36,
,,,14.615,13.154,
,,,15.31,13.764,
,,,14.556,13.119,
,,,14.522,13.556,
,,,12.609,13.69,
,,,15.257,13.834,
,,,14.402,13.539,
,,,14.084,13.302,
,,,15.098,13.799,
,,,15.698,13.226,
,,,14.092,14.097,
,,,13.802,13.296,
,,,15.269,13.348,
,,,14.337,13.509,
,,,15.421,13.399,
,,,14.326,13.118,
,,,15.719,13.605,
,,,15.665,13.077,
,,,15.773,13.087,
,,,14.293,13.159,
,,,14.816,13.263,
,,,14.234,13.083,
,,,13.037,13.243,
,,,13.13,13.272,
,,,15.48,13.291,
,,,13.803,13.079,
,,,14.858,13.041,
,,,13.501,13.341,
,,,14.477,13.341,
,,,14.755,13.637,
,,,13.834,13.225,
,,,14.647,13.014,
,,,13.352,13.073,
,,,15.458,13.433,
,,,14.64,13.198,
,,,13.644,13.662,
,,,14.811,14.021,
,,,14.228,13.93,
,,,14.688,13.872,
,,,14.214,14.41,
,,,14.481,13.879,
,,,15.595,14.268,
,,,13.864,14.788,
,,,14.41,13.817,
,,,15.829,13.955,
,,,14.642,14.47,
,,,13.578,14.493,
,,,14.441,13.97,
,,,13.389,14.588,
,,,14.621,14.092,
,,,14.602,14.465,
,,,16.289,14.189,
,,,14.417,14.174,
,,,13.794,14.054,
,,,14.153,14.454,
,,,14.26,14.283,
,,,14.454,14.625,
,,,14.46,13.828,
,,,14.028,14.359,
,,,14.529,14.467,
,,,14.809,14.401,
,,,15.26,14.583,
,,,15.565,14.408,
,,,15.74,14.202,
,,,16.254,14.47,
,,,15.701,14.352,
,,,13.222,13.906,
,,,14.614,14.505,
,,,14.225,14.337,
,,,13.923,14.596,
,,,15.053,14.322,
,,,14.168,14.515,
,,,15.716,14.353,
,,,14.187,13.853,
,,,15.568,14.565,
,,,14.978,14.481,
,,,16.343,14.212,
,,,13.466,14.695,
,,,13.556,14.4,
,,,15.002,14.471,
,,,13.587,14.355,
,,,14.91,14.376,
,,,14.119,14.615,
,,,15.626,14.192,
,,,14.671,14.439,
,,,13.494,14.441,
,,,13.406,13.315,
,,,13.481,13.945,
,,,14.187,14.695,
,,,13.223,14.453,
,,,14,14.83,
,,,15.296,14.423,
,,,14.229,14.356,
,,,14.557,14.193,
,,,13.558,13.856,
,,,14.405,14.428,
,,,13.493,14.56,
,,,13.394,14.298,
,,,15.039,14.33,
,,,14.676,14.717,
,,,14.117,14.374,
,,,14.576,14.405,
,,,14.987,14.723,
,,,15.005,13.976,
,,,15.28,14.217,
,,,15.999,14.159,
,,,13.636,14.052,
,,,15.827,14.594,
,,,16.093,14.446,
,,,15.57,14.174,
,,,14.441,14.168,
,,,13.128,14.5,
,,,15.051,14.141,
,,,16.296,14.05,
,,,14.583,14.316,
,,,12.688,13.793,
,,,13.542,14.087,
,,,13.46,14.013,
,,,14.511,14.616,
,,,13.771,13.552,
,,,13.99,13.648,
,,,14.039,13.772,
,,,13.516,14.883,
,,,13.952,14.28,
,,,14.178,14.07,
,,,15.185,14.038,
,,,14.738,13.674,
,,,13.229,13.584,
,,,14.819,14.723,
,,,12.841,13.498,
,,,13.832,14.435,
,,,14.728,14.281,
,,,15.172,14.514,
,,,13.731,14.59,
,,,13.341,14.733,
,,,14.106,14.342,
,,,14.658,14.587,
,,,15.311,14.036,
,,,14.643,14.619,
,,,14.951,14.525,
,,,14.295,14.819,
,,,14.079,14.091,
,,,15.488,13.767,
,,,14.627,13.881,
,,,13.889,14.308,
,,,14.041,14.514,
,,,13.961,14.088,
,,,15.583,14.144,
,,,14.607,14.088,
,,,14.619,13.366,
,,,13.888,13.81,
,,,14.781,13.614,
,,,14.747,14.228,
,,,13.955,13.9,
,,,13.925,14.158,
,,,16.037,14.133,
,,,15.697,13.354,
,,,15.764,14.319,
,,,15.41,13.709,
,,,14.659,13.344,
,,,15.515,13.644,
,,,15.447,13.633,
,,,14.191,14,
,,,14.013,14.043,
,,,14.881,13.357,
,,,14.338,13.539,
,,,15.588,14.35,
,,,13.18,13.223,
,,,13.947,13.452,
,,,14.496,13.81,
,,,14.283,13.103,
,,,14.803,13.521,
,,,14.003,14.242,
,,,14.877,13.097,
,,,14.018,13.845,
,,,15.331,14.216,
,,,13.12,13.532,
,,,16.057,13.866,
,,,14.512,13.465,
,,,14.671,13.515,
,,,14.332,13.792,
,,,14.268,13.841,
,,,14.657,14.013,
,,,15.403,14.235,
,,,16.013,13.395,
,,,14.17,13.37,
,,,16.259,13.99,
,,,13.342,13.946,
,,,14.54,14.117,
,,,15.304,14.195,
,,,13.085,13.736,
,,,15.801,14.108,
,,,13.754,13.676,
,,,15.593,13.387,
,,,14.087,13.942,
,,,14.173,13.493,
,,,14.364,13.77,
,,,14.961,14.078,
,,,15.749,13.206,
,,,14.166,13.768,
,,,14.595,13.797,
,,,14.764,13.562,
,,,16.164,13.558,
,,,15.097,14.136,
,,,14.661,13.291,
,,,14.194,13.624,
,,,14.64,14.211,
,,,13.366,13.879,
,,,16.101,14.223,
,,,14.082,13.804,
,,,13.623,13.808,
,,,13.874,14.242,
,,,14.398,13.609,
,,,13.298,13.894,
,,,14.843,13.278,
,,,13.937,13.612,
,,,13.462,14.008,
,,,14.215,13.597,
,,,13.518,13.877,
,,,14.827,13.634,
,,,14.315,13.937,
,,,14.413,14.621,
,,,14.647,13.168,
,,,14.334,13.972,
,,,13.971,14.198,
,,,13.387,13.77,
,,,15.543,13.775,
,,,14.2,14.123,
,,,14.761,13.805,
,,,13.348,14.371,
,,,13.117,14.005,
,,,13.442,13.83,
,,,13.462,14.509,
,,,14.698,14.397,
,,,15.749,13.837,
,,,14.473,14.159,
,,,14.517,13.914,
,,,15.619,14.523,
,,,13.719,14.532,
,,,14.3,14.005,
,,,15.295,14.378,
,,,14.996,14.326,
,,,14.132,14.342,
,,,13.263,14.063,
,,,14.589,14.236,
