hw_cpu_arch,hw_cpu_mhz,hw_num_cpus,hw_page_sz,hw_ram_sz,check,preset,extreme,sparse,PERF
i686,1495,1,4096,773036,crc32,PRESET1,1,0,153.522
i686,1495,1,4096,773036,crc32,PRESET1,0,1,26.48
i686,1495,1,4096,773036,crc32,PRESET1,0,0,26.614
i686,1495,1,4096,773036,crc32,PRESET2,1,1,172.272
i686,1495,1,4096,773036,crc32,PRESET2,1,0,162.438
i686,1495,1,4096,773036,none,PRESET1,1,0,152.502
i686,1495,1,4096,773036,crc32,PRESET2,0,1,34.834
i686,1495,1,4096,773036,crc32,PRESET2,0,0,34.89
i686,1495,1,4096,773036,crc32,PRESET3,1,1,160.758
i686,1495,1,4096,773036,crc32,PRESET3,1,0,165.26
i686,1495,1,4096,773036,crc32,PRESET3,0,1,46.366
i686,1495,1,4096,773036,crc32,PRESET3,0,0,46.084
i686,1495,1,4096,773036,crc32,PRESET4,1,1,173.994
i686,1495,1,4096,773036,crc32,PRESET4,1,0,173.20
i686,1495,1,4096,773036,crc32,PRESET4,0,1,58.558
i686,1495,1,4096,773036,crc32,PRESET4,0,0,59.692
i686,1495,1,4096,773036,none,PRESET1,0,1,26.384
i686,1495,1,4096,773036,crc32,PRESET5,1,1,169.71
i686,1495,1,4096,773036,crc32,PRESET5,1,0,168.178
i686,1495,1,4096,773036,crc32,PRESET5,0,1,72.126
i686,1495,1,4096,773036,crc32,PRESET5,0,0,72.052
i686,1495,1,4096,773036,crc32,PRESET6,1,1,186.498
i686,1495,1,4096,773036,crc32,PRESET6,1,0,186.378
i686,1495,1,4096,773036,crc32,PRESET6,0,1,90.60
i686,1495,1,4096,773036,crc32,PRESET6,0,0,90.796
i686,1495,1,4096,773036,crc32,PRESET7,1,1,198.076
i686,1495,1,4096,773036,crc32,PRESET7,1,0,194.038
i686,1495,1,4096,773036,none,PRESET1,0,0,26.338
i686,1495,1,4096,773036,crc32,PRESET7,0,1,93.668
i686,1495,1,4096,773036,crc32,PRESET7,0,0,94.30
i686,1495,1,4096,773036,crc32,PRESET8,1,1,196.228
i686,1495,1,4096,773036,crc32,PRESET8,1,0,196.388
i686,1495,1,4096,773036,crc32,PRESET8,0,1,95.32
i686,1495,1,4096,773036,crc32,PRESET8,0,0,95.918
i686,1495,1,4096,773036,crc32,PRESET9,1,1,198.36
i686,1495,1,4096,773036,crc32,PRESET9,1,0,197.662
i686,1495,1,4096,773036,crc32,PRESET9,0,1,96.27
i686,1495,1,4096,773036,crc32,PRESET9,0,0,95.986
i686,1495,1,4096,773036,none,PRESET2,1,1,162.986
i686,1495,1,4096,773036,crc64,PRESET0,1,1,133.834
i686,1495,1,4096,773036,crc64,PRESET0,1,0,132.82
i686,1495,1,4096,773036,crc64,PRESET0,0,1,20.688
i686,1495,1,4096,773036,crc64,PRESET0,0,0,20.756
i686,1495,1,4096,773036,crc64,PRESET1,1,1,153.17
i686,1495,1,4096,773036,crc64,PRESET1,1,0,153.452
i686,1495,1,4096,773036,crc64,PRESET1,0,1,26.952
i686,1495,1,4096,773036,crc64,PRESET1,0,0,26.72
i686,1495,1,4096,773036,crc64,PRESET2,1,1,162.904
i686,1495,1,4096,773036,crc64,PRESET2,1,0,163.38
i686,1495,1,4096,773036,none,PRESET2,1,0,162.676
i686,1495,1,4096,773036,crc64,PRESET2,0,1,35.018
i686,1495,1,4096,773036,crc64,PRESET2,0,0,35.124
