worker_id,hw_cpu_arch,hw_cpu_mhz,hw_num_cpus,hw_page_sz,hw_ram_sz,check,preset,extreme,sparse,size,time
78,i686,1495,1,4096,773036,none,-8,#NAME?,#NAME?,11960,196.16
78,i686,1495,1,4096,773036,none,-8,#NAME?,,11960,196.21
78,i686,1495,1,4096,773036,none,-8,,#NAME?,12096,95.72
78,i686,1495,1,4096,773036,none,-8,,,12096,94.82
78,i686,1495,1,4096,773036,none,-9,#NAME?,#NAME?,11960,197.22
78,i686,1495,1,4096,773036,none,-9,#NAME?,,11960,196.64
78,i686,1495,1,4096,773036,none,-9,,#NAME?,12096,96.04
78,i686,1495,1,4096,773036,none,-9,,,12096,96.11
78,i686,1495,1,4096,773036,none,-1,#NAME?,#NAME?,12108,152.6
78,i686,1495,1,4096,773036,crc32,0,#NAME?,#NAME?,12344,132.31
78,i686,1495,1,4096,773036,crc32,0,#NAME?,,12344,132.44
78,i686,1495,1,4096,773036,crc32,0,,#NAME?,13808,21.17
78,i686,1495,1,4096,773036,crc32,0,,,13808,20.95
78,i686,1495,1,4096,773036,crc32,-1,#NAME?,#NAME?,12108,154.77
78,i686,1495,1,4096,773036,crc32,-1,#NAME?,,12108,153.46
78,i686,1495,1,4096,773036,crc32,-1,,#NAME?,13316,26.58
78,i686,1495,1,4096,773036,crc32,-1,,,13316,26.75
78,i686,1495,1,4096,773036,crc32,-2,#NAME?,#NAME?,12040,173.31
78,i686,1495,1,4096,773036,crc32,-2,#NAME?,,12040,162.35
78,i686,1495,1,4096,773036,none,-1,#NAME?,,12108,152.66
78,i686,1495,1,4096,773036,crc32,-2,,#NAME?,13128,35.33
78,i686,1495,1,4096,773036,crc32,-2,,,13128,34.71
78,i686,1495,1,4096,773036,crc32,-3,#NAME?,#NAME?,12004,161.13
78,i686,1495,1,4096,773036,crc32,-3,#NAME?,,12004,162.88
78,i686,1495,1,4096,773036,crc32,-3,,#NAME?,13036,46.31
78,i686,1495,1,4096,773036,crc32,-3,,,13036,46.19
78,i686,1495,1,4096,773036,crc32,-4,#NAME?,#NAME?,12000,173.43
78,i686,1495,1,4096,773036,crc32,-4,#NAME?,,12000,174.15
78,i686,1495,1,4096,773036,crc32,-4,,#NAME?,12560,58.75
78,i686,1495,1,4096,773036,crc32,-4,,,12560,58.19
78,i686,1495,1,4096,773036,none,-1,,#NAME?,13316,26.51
78,i686,1495,1,4096,773036,crc32,-5,#NAME?,#NAME?,11980,168.54
78,i686,1495,1,4096,773036,crc32,-5,#NAME?,,11980,169.73
78,i686,1495,1,4096,773036,crc32,-5,,#NAME?,12240,73.37
78,i686,1495,1,4096,773036,crc32,-5,,,12240,71.91
78,i686,1495,1,4096,773036,crc32,-6,#NAME?,#NAME?,11976,187.32
78,i686,1495,1,4096,773036,crc32,-6,#NAME?,,11976,186.51
78,i686,1495,1,4096,773036,crc32,-6,,#NAME?,12108,90.16
78,i686,1495,1,4096,773036,crc32,-6,,,12108,90.91
78,i686,1495,1,4096,773036,crc32,-7,#NAME?,#NAME?,11960,194.58
78,i686,1495,1,4096,773036,crc32,-7,#NAME?,,11960,194.75
78,i686,1495,1,4096,773036,none,-1,,,13316,26.31
78,i686,1495,1,4096,773036,crc32,-7,,#NAME?,12096,94.17
78,i686,1495,1,4096,773036,crc32,-7,,,12096,93.63
78,i686,1495,1,4096,773036,crc32,-8,#NAME?,#NAME?,11960,196.4
78,i686,1495,1,4096,773036,crc32,-8,#NAME?,,11960,196.58
78,i686,1495,1,4096,773036,crc32,-8,,#NAME?,12096,95.8
78,i686,1495,1,4096,773036,crc32,-8,,,12096,95.21
78,i686,1495,1,4096,773036,crc32,-9,#NAME?,#NAME?,11960,198.27
78,i686,1495,1,4096,773036,crc32,-9,#NAME?,,11960,197.26
78,i686,1495,1,4096,773036,crc32,-9,,#NAME?,12096,95.36
78,i686,1495,1,4096,773036,crc32,-9,,,12096,95.79
78,i686,1495,1,4096,773036,none,-2,#NAME?,#NAME?,12040,163.24
78,i686,1495,1,4096,773036,crc64,0,#NAME?,#NAME?,12344,133.86
78,i686,1495,1,4096,773036,crc64,0,#NAME?,,12344,131.86
78,i686,1495,1,4096,773036,crc64,0,,#NAME?,13808,20.87
78,i686,1495,1,4096,773036,crc64,0,,,13808,20.96
78,i686,1495,1,4096,773036,crc64,-1,#NAME?,#NAME?,12108,152.52
78,i686,1495,1,4096,773036,crc64,-1,#NAME?,,12108,153.99
78,i686,1495,1,4096,773036,crc64,-1,,#NAME?,13316,26.85
78,i686,1495,1,4096,773036,crc64,-1,,,13316,26.49
78,i686,1495,1,4096,773036,crc64,-2,#NAME?,#NAME?,12040,162.87
78,i686,1495,1,4096,773036,crc64,-2,#NAME?,,12040,162.83
78,i686,1495,1,4096,773036,none,-2,#NAME?,,12040,163.25
78,i686,1495,1,4096,773036,crc64,-2,,#NAME?,13128,35
78,i686,1495,1,4096,773036,crc64,-2,,,13128,35.1
78,i686,1495,1,4096,773036,crc64,-3,#NAME?,#NAME?,12004,160.9
78,i686,1495,1,4096,773036,crc64,-3,#NAME?,,12004,161.47
78,i686,1495,1,4096,773036,crc64,-3,,#NAME?,13036,46.86
78,i686,1495,1,4096,773036,crc64,-3,,,13036,46.58
78,i686,1495,1,4096,773036,crc64,-4,#NAME?,#NAME?,12000,174.12
78,i686,1495,1,4096,773036,crc64,-4,#NAME?,,12000,173.54
78,i686,1495,1,4096,773036,crc64,-4,,#NAME?,12560,58.33
78,i686,1495,1,4096,773036,crc64,-4,,,12560,59.64
81,x86_64,2411,16,4096,32965280,none,0,#NAME?,#NAME?,12344,42.31
81,x86_64,2411,16,4096,32965280,none,0,#NAME?,,12344,42.21
81,x86_64,2411,16,4096,32965280,none,-2,,#NAME?,13128,8.99
81,x86_64,2411,16,4096,32965280,crc64,-5,#NAME?,#NAME?,11980,54.57
81,x86_64,2411,16,4096,32965280,crc64,-5,#NAME?,,11980,54.59
81,x86_64,2411,16,4096,32965280,crc64,-5,,#NAME?,12240,23.04
81,x86_64,2411,16,4096,32965280,crc64,-5,,,12240,23
81,x86_64,2411,16,4096,32965280,crc64,-6,#NAME?,#NAME?,11976,58.61
81,x86_64,2411,16,4096,32965280,crc64,-6,#NAME?,,11976,58.57
81,x86_64,2411,16,4096,32965280,crc64,-6,,#NAME?,12108,29.08
81,x86_64,2411,16,4096,32965280,crc64,-6,,,12108,29.37
81,x86_64,2411,16,4096,32965280,crc64,-7,#NAME?,#NAME?,11968,60.21
81,x86_64,2411,16,4096,32965280,crc64,-7,#NAME?,,11968,60.01
81,x86_64,2411,16,4096,32965280,none,-2,,,13128,8.38
81,x86_64,2411,16,4096,32965280,crc64,-7,,#NAME?,12104,29.92
81,x86_64,2411,16,4096,32965280,crc64,-7,,,12104,29.72
81,x86_64,2411,16,4096,32965280,crc64,-8,#NAME?,#NAME?,11964,60.66
81,x86_64,2411,16,4096,32965280,crc64,-8,#NAME?,,11964,60.81
81,x86_64,2411,16,4096,32965280,crc64,-8,,#NAME?,12100,30.21
81,x86_64,2411,16,4096,32965280,crc64,-8,,,12100,30.02
81,x86_64,2411,16,4096,32965280,crc64,-9,#NAME?,#NAME?,11964,61.16
81,x86_64,2411,16,4096,32965280,crc64,-9,#NAME?,,11964,60.94
81,x86_64,2411,16,4096,32965280,crc64,-9,,#NAME?,12100,29.06
81,x86_64,2411,16,4096,32965280,crc64,-9,,,12100,29.19
81,x86_64,2411,16,4096,32965280,none,-3,#NAME?,#NAME?,11992,51.21
81,x86_64,2411,16,4096,32965280,sha256,0,#NAME?,#NAME?,12344,42.56
81,x86_64,2411,16,4096,32965280,sha256,0,#NAME?,,12344,42.52
81,x86_64,2411,16,4096,32965280,sha256,0,,#NAME?,13808,4.95
81,x86_64,2411,16,4096,32965280,sha256,0,,,13808,4.97
81,x86_64,2411,16,4096,32965280,sha256,-1,#NAME?,#NAME?,12108,48.84
81,x86_64,2411,16,4096,32965280,sha256,-1,#NAME?,,12108,48.84
81,x86_64,2411,16,4096,32965280,sha256,-1,,#NAME?,13316,6.46
81,x86_64,2411,16,4096,32965280,sha256,-1,,,13316,6.44
81,x86_64,2411,16,4096,32965280,sha256,-2,#NAME?,#NAME?,12036,52.52
81,x86_64,2411,16,4096,32965280,sha256,-2,#NAME?,,12036,52.28
81,x86_64,2411,16,4096,32965280,none,-3,#NAME?,,11992,51.33
81,x86_64,2411,16,4096,32965280,sha256,-2,,#NAME?,13128,8.91
81,x86_64,2411,16,4096,32965280,sha256,-2,,,13128,8.9
81,x86_64,2411,16,4096,32965280,sha256,-3,#NAME?,#NAME?,11992,51.78
81,x86_64,2411,16,4096,32965280,sha256,-3,#NAME?,,11992,51.74
81,x86_64,2411,16,4096,32965280,sha256,-3,,#NAME?,13032,11.62
81,x86_64,2411,16,4096,32965280,sha256,-3,,,13032,11.63
81,x86_64,2411,16,4096,32965280,sha256,-4,#NAME?,#NAME?,11988,54.97
81,x86_64,2411,16,4096,32965280,sha256,-4,#NAME?,,11988,55.12
81,x86_64,2411,16,4096,32965280,sha256,-4,,#NAME?,12544,17.91
81,x86_64,2411,16,4096,32965280,sha256,-4,,,12544,17.81
81,x86_64,2411,16,4096,32965280,none,-3,,#NAME?,13032,11.09
81,x86_64,2411,16,4096,32965280,sha256,-5,#NAME?,#NAME?,11980,53.36
81,x86_64,2411,16,4096,32965280,sha256,-5,#NAME?,,11980,53.31
81,x86_64,2411,16,4096,32965280,sha256,-5,,#NAME?,12240,22.43
81,x86_64,2411,16,4096,32965280,sha256,-5,,,12240,22.37
81,x86_64,2411,16,4096,32965280,sha256,-6,#NAME?,#NAME?,11976,57.25
81,x86_64,2411,16,4096,32965280,sha256,-6,#NAME?,,11976,57.36
81,x86_64,2411,16,4096,32965280,sha256,-6,,#NAME?,12108,28.56
81,x86_64,2411,16,4096,32965280,sha256,-6,,,12108,28.42
81,x86_64,2411,16,4096,32965280,sha256,-7,#NAME?,#NAME?,11968,58.86
81,x86_64,2411,16,4096,32965280,sha256,-7,#NAME?,,11968,58.77
81,x86_64,2411,16,4096,32965280,none,-3,,,13032,11.1
81,x86_64,2411,16,4096,32965280,sha256,-7,,#NAME?,12104,28.89
81,x86_64,2411,16,4096,32965280,sha256,-7,,,12104,28.96
81,x86_64,2411,16,4096,32965280,sha256,-8,#NAME?,#NAME?,11964,59.33
81,x86_64,2411,16,4096,32965280,sha256,-8,#NAME?,,11964,59.59
