N,2N,3N,I2
0.0286,0.0909,0.1905,0.0729
0,0.0513,0.025,0.05
0.0588,0.1306,0.2346,0.0833
0.0476,0.0538,0.1389,0.1125
0.0526,0.0946,0.0256,0.0729
0.0988,0.0479,0.025,0.1053
0,0.1914,0.0171,0
0.1515,0.0438,0.0523,0.179
0.05,0.1348,0.037,0.0729
0,0.0783,0.131,0.1759
0.05,0.0101,0.0171,0.05
0.05,0.1184,0.025,0.0111
0.4318,0.0904,0.0417,0
0.825,0.1306,0.0399,0.1118
0.0395,0.0081,0.0175,0.0305
0.2903,0.0192,0.1143,0.1667
0.973,0.025,0.0215,0.0902
0.1515,0.0513,0.0238,0.0471
0.4,0.0538,0.1228,0.2426
0.0308,0.0909,0.1908,0.0111
0.1231,0.1187,0.0774,0.1275
0.1774,0.0167,0.0312,0.0556
0.16,0.0081,0.1968,0.155
0.0429,0.1961,0.037,0.101
0.1127,0.0991,0.0427,0.1271
0.2857,0.1701,0.0667,0.1189
0.4651,0.0539,0.0871,0.0305
0.825,0.0991,0.098,0.0729
0.1111,0.0775,0.1081,0.2
0.125,0.1307,0.0918,0.0082
0.8529,0.0345,0.025,0.0562
0,0.1159,0.0372,0.0391
0.1429,0.0317,0.0167,0.0171
0.1818,0.1389,0.0606,0.1736
0.1875,0.0147,0.0427,0.1351
0.027,0.0904,0.0163,0.1064
0.1176,0.0052,0.025,0.108
0.1875,0,0.1667,0.023
0.3793,0.0926,0.177,0.1115
0.0698,0.0398,0.0317,0.1667
0.1053,0.18,0.1847,0.2
0,0.0167,0.0476,0.0634
0.0732,0.0538,0.0081,0.0221
0.05,0.0625,0.0556,0.023
0.0952,0.0789,0,0.0431
0.0526,0.0479,0.1667,0.089
0.0161,0.1619,0.1159,0.05
0.7805,0.0212,0.0035,0.0176
0.1739,0.0546,0.069,0.0035
0.0641,0.0538,0.0404,0.0471
0.973,0.0212,0.0513,0.0854
0.1111,0.0465,0.0606,0.0969
0.1,0.0317,0.1714,0.0556
0.3333,0.0147,0.069,0.0103
0.0857,0.081,0.1696,0.0804
1.0278,0.0702,0.2381,0.1484
0.2373,0,0.0035,0.1053
0.3036,0.0714,0.0543,0.0562
0.1406,0.0714,0.0427,0.0236
0.058,0.1961,0.1667,0.1351
0.2903,0.0479,0.1961,0.0632
0.0909,0.1296,0.0963,0.043
0.8718,0.2339,0.0667,0.05
0.1875,0,0.0709,0.0111
0.1489,0.0904,0.0304,0.0103
0.2121,0.025,0.0686,0.0111
0.1231,0.0702,0.125,0.0493
0.0875,0.0208,0.025,0.0321
0.0857,0.0758,0.0789,0.1378
0.1127,0.1591,0.0333,0.0397
0.0328,0.0625,0,0.1289
0.1739,0.0889,0.0513,0.1844
0,0,0.1714,0.0471
0.0455,0.0625,0.0175,0.0035
0.1111,0.1184,0.0682,0.0611
0.1111,0.0539,0.1515,0.0833
0.0526,0.0317,0.0256,0.1351
0.1176,0.0625,0.0399,0.043
0.3333,0.0103,0.0952,0.0242
0.1429,0.0702,0.1228,0.043
0.0735,0.0991,0.0312,0.0244
0.0732,0.1159,0.1081,0.0729
0.2667,0.0889,0.025,0.0244
0.1587,0.0212,0.1389,0.0833
0,0.1667,0.0741,0.0378
0,0.0939,0.0215,0.0111
0.6591,0,0.0404,
0.0429,0.0167,0.0789,
0.0244,0.0546,0,
0.1406,0.1287,0.0427,
0.0455,0.0889,0.0667,
0.05,0.0052,0.0991,
0.1587,0.1087,0.0551,
0.0811,0.0889,0,
0.1556,0.1087,0.1762,
0.0156,0.1296,0.1389,
0.2317,0.1296,,
0.058,0.1092,,
0.0678,0.0671,,
0.5,0.0929,,
0.027,0.0081,,
0.1765,0.0789,,
0,0.0167,,
0.2667,0.025,,
0.3793,0.2059,,
0,0.0625,,
0.0597,0.0208,,
0.5366,0.4138,,
0,0.0392,,
0.0952,0.0682,,
0.2121,0.0081,,
0.5366,0.1348,,
0.0735,0.2339,,
0.1711,0.0667,,
0.2258,0.0556,,
0.2258,0.025,,
0.1765,0.0546,,
0.575,0.0758,,
0.25,0.0345,,
0.0857,0.0702,,
0.8529,0.0667,,
0.1486,0.0758,,
0.6579,0.0066,,
0.0678,0.0543,,
0.058,0.0065,,
0.0732,0.0702,,
0.1667,0.0427,,
0.241,0.0929,,
0.0135,0.0676,,
0.75,0.2339,,
0.4286,0.1591,,
0.2121,0.0722,,
0.1515,0.0479,,
0.0244,0,,
1.5172,0.1633,,
0.8718,0.2143,,
0.0429,0.0103,,
0.0256,0.0427,,
0.2258,0.1857,,
0.1429,0.0625,,
0.3103,0.0147,,
1.0857,,,
0.2121,,,
0.0161,,,
0.125,,,
0.1364,,,
0.25,,,
0.2903,,,
0.6154,,,
0,,,
0.0811,,,
0,,,
0.46,,,
0.2245,,,
0.1915,,,
0.1967,,,
0.3571,,,
0.125,,,
0.0455,,,
0.1515,,,
0.0759,,,
0.2667,,,
0.0811,,,
0.0476,,,
0.0988,,,
0.1127,,,
0.825,,,
0.587,,,
0.8718,,,
0.2903,,,
0,,,
0.0256,,,
0.125,,,
0.6154,,,
0.1176,,,
0.2167,,,
0.1765,,,
0.0909,,,
0.6222,,,
0.1489,,,
0.25,,,
0.2586,,,
0.3333,,,
0.1765,,,
0.1875,,,
0.0328,,,
