N-Apache,N-LLVM,N-X264,N-BDBC,N-BDBJ,N-SQL,2N-Apache,2N-LLVM,2N-X264,2N-BDBC,2N-BDBJ,2N-SQL,3N-Apache,3N-LLVM,3N-X264,3N-BDBC,3N-BDBJ,3N-SQL,I2-Apache,I2-LLVM,I2-X264,I2-BDBC,I2-BDBJ,I2-SQL
,0.0492,0.4424,2.184,,,,0.0383,0.0161,0.4006,,,,0.0317,0.0616,0.2684,,,,0.0511,0.122,0.474,,
,0.0712,0.7014,0.2888,,,,0.0389,0.2021,0.4848,,,,0.0643,0.1435,0.0604,,,,0.0806,0.123,0.0265,,
,0.0525,0.488,0,,,,0.0262,0.234,19.3497,,,,0.0298,0.0035,0.2795,,,,0.0286,0.0639,0.3278,,
,0.0542,0.014,0.2647,,,,0.0319,0.0072,20.0865,,,,0.0412,0.1146,2.4711,,,,0.0035,0.019,0.5273,,
,0.0446,0.748,0.333,,,,0.0819,0.0123,0.1349,,,,0.0087,0.0224,0.0151,,,,0.0314,0.0075,0.3811,,
,0.0251,0.1563,0.8267,,,,0.0231,0.0737,0.546,,,,0.0502,0.1127,0.1345,,,,0.0117,0.0075,0.3524,,
,0.1316,0.0758,0.6137,,,,0.0125,0.4502,0.121,,,,0.153,0.0062,0.1375,,,,0.0066,0.0244,0.0001,,
,0.1369,0.0142,2.0727,,,,0.0578,0.0219,0.1035,,,,0.1414,0.0548,0.016,,,,0.007,0.0967,0.0361,,
,0.1642,0.1989,0.7957,,,,0.0242,0.1783,0.1151,,,,0.0384,0.1068,0.4623,,,,0.0872,0.0235,0.0154,,
,0.0786,0.6783,0.2814,,,,0.0075,0.0199,0.047,,,,0.0104,0.0205,0.4791,,,,0.084,0.0471,0.0103,,
,0.0584,0.8107,2.1473,,,,0.0222,0.0437,0.113,,,,0.105,0.1058,0.1264,,,,0.0563,0.0908,0.0377,,
,0.0024,0.4949,0.2802,,,,0.018,0.0996,0.5149,,,,0.0428,0.0206,0.1876,,,,0.0162,0.0027,0.0009,,
,0.0294,0.0271,0.4377,,,,0.0139,0.0732,0.6499,,,,0.0737,0.0957,0.1509,,,,0.0638,0.1711,0.0057,,
,0.0631,0.0173,0.255,,,,0.0737,0.0389,0.0445,,,,0.0206,0.0089,0.8928,,,,0.0047,0.0625,0.0052,,
,0.012,0.0342,0.2941,,,,0.0215,0.197,0.5453,,,,0.137,0.0731,2.1101,,,,0.0639,0.06,0.1453,,
,0.0519,0.3822,0.6816,,,,0.018,0.1131,19.258,,,,0.0203,0.0115,0.1234,,,,0.0312,0.0208,0.0122,,
,0.0494,0.4359,0.2498,,,,0.0348,0.0302,0.488,,,,0.118,0.1985,0.6822,,,,0.0177,0.0458,0.004,,
,0.0586,0.3838,1.2884,,,,0.0066,0.1358,0.4816,,,,0.0041,0.0424,0.5252,,,,0.0479,0.0321,0.4191,,
,0.0088,0.575,0.1457,,,,0.0857,0.0183,0.2157,,,,0.0237,0.0828,0.1418,,,,0.0615,0.0949,0.318,,
,0.0423,0.011,0.3202,,,,0.0123,0.057,0.5451,,,,0.0368,0.0114,0.4182,,,,0.0196,0.0028,0.1182,,
,0.1574,0.0172,0.3919,,,,0.0165,0.2042,0.5461,,,,0.0991,0.0455,0.2844,,,,0.0804,0.1575,0.0124,,
,0.1419,0.1,2.0832,,,,0.0497,0.016,20.0704,,,,0.0062,0.0267,0.7658,,,,0.0375,0.1063,0.0001,,
,0.1338,1.0268,0.6371,,,,0.0371,0.0397,0.504,,,,0.0251,0.0205,0.1513,,,,0.0275,0.1423,0.3474,,
,0.1246,0.3972,3.4697,,,,0.0109,0.0653,1.3827,,,,0.1226,0.0005,1.1072,,,,0.0173,0.1324,0.0697,,
,0.0669,0.021,0.312,,,,0.0247,0.1185,0.4826,,,,0.0332,0.0854,0.4617,,,,0.0526,0.1433,0.1264,,
,0.0127,0.2414,3.4538,,,,0.0685,0.1221,19.1022,,,,0.0457,0.0378,0.8857,,,,0.0255,0.0154,0.0772,,
,0.1327,0.1041,11.041,,,,0.008,0.0501,0.3919,,,,0.1585,0.1583,0.0203,,,,0.0595,0.0578,0.0637,,
,0.0457,1.0577,0.6721,,,,0.0402,0.0372,0.1013,,,,0.0159,0.113,0.0894,,,,0.092,0.0559,0.0754,,
,0.0241,0.018,0.2412,,,,0.0381,0.0285,20.0543,,,,0.0988,0.0708,0.3325,,,,0.048,0.0844,0.0102,,
,0.0756,0.0468,0.7095,,,,0.0366,0.0029,0.6541,,,,0.0217,0.0092,0.3064,,,,0.0378,0.0248,0.0011,,
,0.1215,1.0613,0.0945,,,,0.0242,0.0614,0.647,,,,0.0331,0.0758,0.3232,,,,0.0597,0.0192,0.5218,,
,0.0595,0.7502,3.6213,,,,0.0364,0.0395,0.1165,,,,0.0058,0.0294,0.4185,,,,0.066,0.0277,0.0706,,
,0.0719,1.0831,3.4237,,,,0.0165,0.1896,0.1444,,,,0.0069,0.0198,0.3812,,,,0.0805,0.0168,0.1001,,
,0.0362,0.0046,0.3153,,,,0.0018,0.1432,0.2447,,,,0.0068,0.1835,0.8601,,,,0.0078,0.1807,0.0217,,
,0.038,0.0416,1.2841,,,,0.0048,0.1511,20.2534,,,,0.0022,0.0235,0.0129,,,,0.0771,0.0283,0.0608,,
,0.0322,0.6917,0.0135,,,,0.0768,0.0748,0.5459,,,,0.0267,0.0856,0.3134,,,,0.008,0.0154,0.3405,,
,0.099,0.0256,0.6151,,,,0.0497,0.0992,0.075,,,,0.0311,0.1404,0.0153,,,,0.0283,0.0239,0.012,,
,0.038,0.2947,1.1094,,,,0.0348,0.1255,1.4189,,,,0.039,0.0877,0.6128,,,,0.0133,0.1477,0.8043,,
,0.0408,0.017,0.4391,,,,0.0591,0.0523,0.1341,,,,0.1044,0.0055,0.0925,,,,0.0344,0.197,0.4198,,
,0.0102,0.2142,3.2745,,,,0.048,0.1492,0.346,,,,0.0222,0.051,0.8569,,,,0.066,0.0166,0.0035,,
,0.0312,0.0046,1.2772,,,,0.0442,0.006,0.3093,,,,0.1198,0.1779,0.0167,,,,0.0442,0.0634,0.3263,,
,0.0665,0.0377,0.3032,,,,0.0439,0.0979,19.2517,,,,0.1467,0.1198,0.1159,,,,0.0928,0.0887,0.0002,,
,0.024,0.0516,3.1319,,,,0.0024,0.0011,0.5451,,,,0.0457,0.1799,0.0138,,,,0.0326,0.1222,0.013,,
,0.1722,0.4668,0.8272,,,,0.0321,0.054,1.301,,,,0.0132,0.1876,0.126,,,,0.0156,0.0273,0.0091,,
,0.1427,0.0719,0.8268,,,,0.0484,0.0108,0.0522,,,,0.1153,0.0065,0.1941,,,,0.015,0.0103,0.0628,,
,0.0013,0.1144,0.9998,,,,0.0657,0.1674,0.1135,,,,0.0504,0.0346,0.7723,,,,0.0449,0.0318,0.3311,,
,0.0106,0.0282,1.2898,,,,0.0063,0.0249,0.1142,,,,0.0835,0.0832,0.1826,,,,0.0158,0.0142,0.0045,,
,0.1736,0.0087,1.192,,,,0.0482,0.0282,0.657,,,,0.0997,0.04,1.1376,,,,0.0535,0.0849,0.0021,,
,0.0155,0.4961,0.6784,,,,0.0212,0.2518,0.429,,,,0.0711,0.0093,0.4613,,,,0.0408,0.1025,0.1497,,
,0.1636,0.1148,3.4538,,,,0.0421,0.0017,19.7382,,,,0.1096,0.0534,0.0579,,,,0.0119,0.0249,0.082,,
,0.0201,0.0129,0.6364,,,,0.0152,0.0445,0.1003,,,,0.0486,0.019,0.3444,,,,0.0017,0.022,0.0407,,
,0.046,0.0572,0.099,,,,0.0462,0.0425,0.0359,,,,0.0165,0.0755,0.0452,,,,0.0027,0.1139,0.0098,,
,0.0281,0.0847,0.0909,,,,0.0333,0.1645,0.4862,,,,0.0199,0.1406,1.1518,,,,0.0195,0.0296,0.0024,,
,0.0679,0.8425,0.3132,,,,0.0196,0.0394,0.0345,,,,0.0016,0.0696,0.4187,,,,0.0547,0.0396,0.0179,,
,0.0829,0.1321,3.449,,,,0.0002,0.1234,0.1556,,,,0.161,0.0401,0.0966,,,,0.0236,0.1233,0.0029,,
,0.0801,0.207,0.37,,,,0.0334,0.0219,0.0705,,,,0.0401,0.034,0.1752,,,,0.0451,0.0621,0.1143,,
,0.0089,0.3442,2.204,,,,0.0119,0.0742,0.5029,,,,0.0248,0.1181,0.269,,,,0.0436,0.0015,0.0664,,
,0.0461,0.2774,0.0058,,,,0.0516,0.2401,0.0962,,,,0.1132,0.0184,0.0433,,,,0.0025,0.0674,0.0025,,
,0.0275,0.0033,0.3002,,,,0.0655,0.0829,0.6606,,,,0.0661,0.1602,0.4636,,,,0.019,0.0172,0.8017,,
,0.0636,0.232,0.0125,,,,0.0736,0.0438,0.1977,,,,0.0962,0.0006,0.6087,,,,0.0625,0.0457,0.4636,,
,0.0379,0.043,0.5144,,,,0.0507,0.115,0.3233,,,,0.0071,0.1808,0.0028,,,,0.002,0.1098,0.1528,,
,0.0152,0.1165,0.1794,,,,0.0787,0.0522,0.0996,,,,0.0073,0.0345,0.0924,,,,0.0223,0.0168,0.3226,,
,0.0525,0.0732,11.3113,,,,0.0065,0.0701,0.1083,,,,0.0094,0.1024,0.3836,,,,0.0909,0.0084,0.0973,,
,0.0042,0.0377,3.3484,,,,0.0345,0.2286,0.3163,,,,0.0258,0.014,0.3812,,,,0.018,0.0882,0.3175,,
,0.15,0.0343,0.3683,,,,0.013,0.0729,0.0791,,,,0.0157,0.0534,0.3004,,,,0.0533,0.0049,0.0196,,
,0.0786,0.0949,0.2949,,,,0.0309,0.0302,0.142,,,,0.1205,0.0123,0.1387,,,,0.0505,0.0975,0,,
,0.082,0.0709,0.2416,,,,0.034,0.0653,19.8523,,,,0.0111,0.0342,0.4784,,,,0.0706,0.1895,0.0198,,
,0.0603,0.0731,0.2946,,,,0.0631,0.0599,1.3702,,,,0.0969,0.1795,0.0445,,,,0.0547,0.0519,0.0369,,
,0.0562,0.4346,0.6735,,,,0.0009,0.1248,1.4107,,,,0.0441,0.0193,0.4638,,,,0.0712,0.0359,0.009,,
,0.0272,0.0134,0.2388,,,,0.0202,0.015,0.3216,,,,0.1533,0.0141,0.8589,,,,0.0426,0.071,0.0195,,
,0.1223,0.062,3.2765,,,,0.0209,0.1809,0.6612,,,,0.0373,0.0023,0.4604,,,,0.0493,0.0026,0.0185,,
,0.184,0.0683,0.8025,,,,0.0086,0.0351,0.6556,,,,0.0931,0.094,0.3049,,,,0.0319,0.029,0.0168,,
,0.1454,0.0149,11.0532,,,,0.0219,0.024,0.116,,,,0.1046,0.0359,0.3559,,,,0.0146,0.095,0.0078,,
,0.0314,0.0107,0.8028,,,,0.0198,0.0379,0.2228,,,,0.0323,0.149,0.1821,,,,0.0502,0.1355,0.0003,,
,0.0494,0.6772,0.3196,,,,0.0489,0.1897,1.3649,,,,0.0531,0.1494,2.1066,,,,0.0413,0.0299,0.0774,,
,0.1665,0.0802,3.2828,,,,0.0238,0.0209,0.1071,,,,0.0261,0.0547,0.7955,,,,0.0431,0.0501,0.0218,,
,0.0095,0.0171,0.0114,,,,0.0239,0.0527,0.1623,,,,0.0143,0.0134,0.1506,,,,0.0535,0.0045,0.3359,,
,0.0378,0.2577,0.6128,,,,0.0595,0.0476,0.6543,,,,0.0004,0.0433,0.0179,,,,0.0992,0.0424,0.0019,,
,0.061,0.1992,0.9913,,,,0.0219,0.0424,0.0604,,,,0.127,0.0007,0.2383,,,,0.0031,0.0609,0.519,,
,0.0609,1.1044,0.1464,,,,0.0291,0.0265,0.5164,,,,0.0135,0.0336,0.4629,,,,0.0521,0.0089,0.3156,,
,0.1172,1.1934,0.3605,,,,0.0334,0.001,0.4844,,,,0.0012,0.1131,0.0936,,,,0.07,0.0937,0.3242,,
,0.1507,0.1197,0.9776,,,,0.0302,0.2746,0.1181,,,,0.0167,0.0583,0.1866,,,,0.0336,0.0408,0.0004,,
,0.1203,0.0156,0.6374,,,,0.01,0.0271,0.1645,,,,0.0214,0.1222,0.1315,,,,0.0078,0.0552,0.0022,,
,0.1155,0.0437,0.3064,,,,0.0359,0.0649,0.1013,,,,0.0359,0.0437,0.0989,,,,0.0656,0.1152,0.0205,,
,0.0291,0.0586,0.003,,,,0.0063,0.05,0.0455,,,,0.1021,0.0087,0.6818,,,,0.0364,0.0084,0.3262,,
,0.1714,0.0837,0.441,,,,0.0585,0.0075,0.1003,,,,0.02,0.0563,0.4791,,,,0.0232,0.0726,0.0953,,
,0.1337,0.0055,2.1558,,,,0.0462,0.0935,0.4887,,,,0.0505,0.0493,0.102,,,,0.0496,0.0486,0.0336,,
,0.0436,0.2409,0.2823,,,,0.0062,0.0369,0.2211,,,,0.0762,0.036,0.0452,,,,0.0242,0.0618,0.0088,,
,0.0055,0.0168,1.2839,,,,0.0057,0.0004,0.4874,,,,0.0324,0.0273,0.0476,,,,0.0426,0.0129,0.0051,,
,0.0696,0.0592,0.1164,,,,0.0461,0.0517,20.1812,,,,0.029,0.0052,0.4613,,,,0.0882,0.0243,0.0018,,
,0.0151,0.0167,1.1736,,,,0.0135,0.027,0.1154,,,,0.029,0.0025,0.1988,,,,0.007,0.0788,0.319,,
,0.0261,0.1143,0.1043,,,,0.0512,0.1019,0.4883,,,,0.1543,0.003,0.3048,,,,0.0597,0.0095,0.0334,,
,0.0083,0.0229,0.1774,,,,0.0125,0.0018,0.4358,,,,0.0246,0.1322,0.4965,,,,0.0716,0.1224,0.8101,,
,0.0631,0.5372,0.0111,,,,0.023,0.065,7.921,,,,0.0846,0.1044,0.3379,,,,0.0452,0.021,0.0002,,
,0.0719,0.0035,0.7964,,,,0.0083,0.0132,0.5434,,,,0.0693,0.1069,0.0928,,,,0.0755,0.0455,0.4101,,
,0.0584,0.0193,0.0019,,,,0.0021,0.0584,0.517,,,,0.0855,0.0663,0.2906,,,,0.0316,0.0587,0.0004,,
,0.0388,0.0772,0.4346,,,,0.0458,0.0668,0.6543,,,,0.0683,0.0953,0.4183,,,,0.0177,0.0424,0.1194,,
,0.0369,0.0991,0.2376,,,,0.0413,0.0328,7.9029,,,,0.0477,0.1053,0.1898,,,,0.0552,0.1971,0.0057,,
,0.139,0.0161,3.4758,,,,0.0564,0.0162,0.0988,,,,0.0111,0.0296,0.7731,,,,0.0709,0.0535,0.0108,,
,0.0277,0.1081,0.1725,,,,0.0927,0.0168,0.545,,,,0.1089,0.0385,0.1151,,,,0.1296,0.0352,0.0011,,
,0.044,0.7974,0.3577,,,,0.0172,0.0663,0.4868,,,,0.0377,0.0358,0.6728,,,,0.1051,0.0524,0.0996,,
,0.0241,0.0794,0.3648,,,,0.0287,0.0727,0.1444,,,,0.0084,0.057,0.1362,,,,0.0661,0.0054,0.0973,,
,0.0055,0.0996,0.795,,,,0.0409,0.0523,0.3264,,,,0.1694,0.154,0.3824,,,,0.1057,0.0513,0.1108,,
,0.0232,0.0695,0.3592,,,,0.0418,0.0121,0.6581,,,,0.0238,0.0855,0.136,,,,0.0693,0.0578,0.1082,,
,0.0634,0.1995,0.8264,,,,0.0408,0.168,0.0451,,,,0.1047,0.0023,0.6706,,,,0.02,0.0724,0.0066,,
,0.0074,0.0842,0.3009,,,,0.0198,0.119,0.1121,,,,0.0204,0.0832,0.4739,,,,0.041,0.0106,0.0001,,
,0.1485,0.2832,0.0948,,,,0.02,0.0164,0.052,,,,0.1112,0.0334,1.1079,,,,0.0622,0.0607,0.3345,,
,0.1194,0.0046,0.2823,,,,0.0484,0.0129,0.0449,,,,0.0252,0.0236,2.1103,,,,0.0151,0.0811,0.0224,,
,0.0506,0.1562,3.2792,,,,0.0372,0.1262,0.1444,,,,0.0016,0.0271,0.8894,,,,0.0589,0.1017,0.4573,,
,0.1568,0.061,0.0227,,,,0.06,0.0188,0.1598,,,,0.0385,0.0059,2.4785,,,,0.0306,0.0585,0.0017,,
,0.006,0.6871,0.284,,,,0.018,0.0011,1.3246,,,,0.0172,0.1764,0.2982,,,,0.0761,0.0151,0.0551,,
,0.0446,0.1167,0.615,,,,0.0104,0.1003,0.4864,,,,0.0723,0.0291,2.4705,,,,0.0114,0.0405,0.3364,,
,0.1761,0.4456,1.1401,,,,0.0755,0.2832,0.1158,,,,0.0505,0.1162,0.5299,,,,0.039,0.0596,0.0114,,
,0.1071,0.0073,0.2819,,,,0.0329,0.0161,0.145,,,,0.0427,0.1527,0.3521,,,,0.0198,0.0634,0.5066,,
,0.0154,0.2077,0.0014,,,,0.008,0.0995,7.9144,,,,0.0349,0.0115,0.4156,,,,0.041,0.1639,0.2551,,
,0.0473,0.026,0.0829,,,,0.0473,0.0619,0.1438,,,,0.0003,0.1917,0.3012,,,,0.0669,0.0291,0.4195,,
,0.0051,0.1005,0.6136,,,,0.0606,0.0518,0.5169,,,,0.0466,0.0052,0.2961,,,,0.0583,0.0453,0.0055,,
,0.0742,0.9675,1.1885,,,,0.0236,0.0261,7.9029,,,,0.112,0.0393,0.8597,,,,0.0733,0.0398,0.353,,
,0.0008,0.0919,0.2504,,,,0.0511,0.0521,0.1121,,,,0.0514,0.1866,2.1012,,,,0.0451,0.0083,0.012,,
,0.0006,0.5113,0.1959,,,,0.0225,0.0667,0.6539,,,,0.0363,0.0481,0.0471,,,,0.1105,0.0701,0.0351,,
,0.1467,0.059,1.187,,,,0.0462,0.0132,0.0407,,,,0.1406,0.0113,1.1813,,,,0.0141,0.0484,0.7408,,
,0.0663,0.0144,2.0402,,,,0.0066,0.0451,0.0814,,,,0.0785,0.1354,0.106,,,,0.0394,0.0454,0.0103,,
,0.0697,0.748,0.215,,,,0.0175,0.0193,0.4234,,,,0.0336,0.1295,2.1047,,,,0.0197,0.0134,0.0078,,
,0.0826,0.2948,0.7953,,,,0.0487,0.0658,0.4889,,,,0.1073,0.024,2.1021,,,,0.0105,0.1032,0.0198,,
,0.0279,0.2944,0.3679,,,,0.0268,0.006,0.5038,,,,0.0627,0.0422,0.1138,,,,0.0882,0.0032,0.3407,,
,0.0363,0.064,0.9753,,,,0.0135,0.0273,0.0886,,,,0.0008,0.0535,0.8604,,,,0.0105,0.0067,0.0013,,
,0.0518,0.1018,0.6372,,,,0.0775,0.0997,0.486,,,,0.0095,0.157,0.0474,,,,0.0104,0.159,0.0801,,
,0.0616,0.9208,0.1505,,,,0.0186,0.0203,0.1162,,,,0.009,0.013,0.2242,,,,0.0425,0.061,0.0029,,
,0.0088,0.0276,0.174,,,,0.0457,0.0873,0.1122,,,,0.0003,0.0428,1.95,,,,0.0763,0.0087,0.0032,,
,0.1333,1.1358,0.4443,,,,0.0218,0.1794,0.0964,,,,0.0749,0.1586,0.4725,,,,0.0146,0.079,0.0003,,
,0.0453,0.9675,0.0099,,,,0.017,0.3977,0.1115,,,,0.005,0.0579,0.1025,,,,0.0468,0.0304,0.0009,,
,0.0621,0.0882,0.1857,,,,0.036,0.0617,1.3475,,,,0.0536,0.1145,0.3868,,,,0.0234,0.1895,0.0015,,
,0.18,0.0142,0.3198,,,,0.0566,0.0008,0.6758,,,,0.0903,0.0191,0.4035,,,,0.0542,0.0245,0.0113,,
,0.1417,0.4066,0.1754,,,,0.0412,0.0352,0.5039,,,,0.0196,0.0756,0.4629,,,,0.0235,0.112,0.0038,,
,0.0771,0.3462,2.0515,,,,0.0198,0.0963,0.1202,,,,0.0035,0.0315,0.48,,,,0.0335,0.0076,0.3052,,
,0.0653,0.748,0.2428,,,,0.0107,0.08,0.1179,,,,0.0066,0.1371,0.4803,,,,0.1146,0.0983,0.3886,,
,0.0054,0.5882,0.4331,,,,0.0449,0.0806,0.5464,,,,0.0212,0.0142,0.7968,,,,0.1166,0.0034,0.106,,
,0.0426,0.076,0.1998,,,,0.051,0.0269,7.8997,,,,0.1412,0.0297,0.1729,,,,0.0058,0.0642,0.0106,,
,0.1682,0.0737,0.8274,,,,0.0859,0.1999,19.9608,,,,0.1331,0.0402,0.354,,,,0.0679,0.0375,0.0036,,
,0.0661,0.9662,0.3702,,,,0.0091,0.0764,0.5153,,,,0.1318,0.0113,2.1056,,,,0.0241,0.1825,0.3538,,
,0.043,0.7777,2.1582,,,,0.0077,0.0771,0.1173,,,,0.0549,0.1027,0.2955,,,,0.0667,0.0597,0.0011,,
,0.0511,0.0235,0.113,,,,0.0112,0.1641,0.0653,,,,0.0284,0.0238,0.3766,,,,0.0168,0.2049,0.0082,,
,0.0071,0.7801,0.4611,,,,0.0378,0.1685,1.2207,,,,0.1607,0.0344,0.1164,,,,0.0636,0.0849,0.0029,,
,0.0078,0.0142,0.1852,,,,0.0316,0.059,0.5447,,,,0.0332,0.1022,0.1535,,,,0.017,0.059,0.0093,,
,0.1915,0.07,1.0205,,,,0.028,0.0361,0.1644,,,,0.065,0.0971,0.857,,,,0.0247,0.0324,0.079,,
,0.089,0.121,0.8265,,,,0.0243,0.0298,0.5042,,,,0.0411,0.0237,1.1107,,,,0.0323,0.0606,0.0441,,
,0.1376,0.0209,0.6151,,,,0.0236,0.1574,8.2616,,,,0.0145,0.011,0.3053,,,,0.0412,0.1863,0.0028,,
,0.0638,0.016,0.0001,,,,0.0105,0.0972,20.2627,,,,0.026,0.0275,0.0451,,,,0.0701,0.0488,0.0083,,
,0.1723,0.7012,0.3912,,,,0.0148,0.022,0.5043,,,,0.0163,0.0731,1.9015,,,,0.085,0.0233,0.078,,
,0.0563,0.5888,0.8271,,,,0.0181,0.0363,0.5449,,,,0.0539,0.1459,0.2078,,,,0.0079,0.0138,0.0984,,
,0.1038,0.0376,0.3623,,,,0.0422,0.2316,0.0563,,,,0.1028,0.013,0.9006,,,,0.0418,0.0156,0.0008,,
,0.1342,0.0439,0.1752,,,,0.0059,0.0275,0.1154,,,,0.1557,0.0993,0.0731,,,,0.0321,0.1105,0.0368,,
,0.0866,0.257,0.2819,,,,0.0783,0.0813,0.6598,,,,0.0063,0.0436,0.463,,,,0.0159,0.0251,0.3227,,
,0.1183,0.1318,0.0076,,,,0.0031,0.0817,0.4881,,,,0.0243,0.0253,0.0463,,,,0.0632,0.015,0.1389,,
,0.0539,0.0945,0.8272,,,,0.0335,0.188,0.1012,,,,0.017,0.1404,0.4612,,,,0.0061,0.0403,0.0178,,
,0.0085,0.3657,0.2934,,,,0.0027,0.103,0.0993,,,,0.02,0.014,0.278,,,,0.0266,0.059,0.0035,,
,0.1062,1.0202,0.3586,,,,0.0134,0.2155,0.1143,,,,0.0016,0.0063,0.1703,,,,0.0746,0.0416,0.0021,,
,0.1941,0.0412,0.0901,,,,0.0161,0.0596,0.0351,,,,0.0103,0.0066,0.403,,,,0.0448,0.0071,0.0071,,
,0.0054,0.021,0.6147,,,,0.0201,0.1,0.0996,,,,0.12,0.0835,0.3816,,,,0.0442,0.0178,0.7957,,
,0.1216,0.7805,0.9913,,,,0.074,0.1139,0.5952,,,,0.04,0.0473,0.0942,,,,0.0286,0.0138,0.0718,,
,0.1352,0.0258,3.2347,,,,0.0531,0.0836,0.479,,,,0.1065,0.0222,0.8548,,,,0.0669,0.1551,0.0031,,
,0.0047,0.3372,0.2808,,,,0.0032,0.0343,0.6495,,,,0.0232,0.0985,0.8587,,,,0.038,0.058,0.0246,,
,0.01,0.4168,0.2819,,,,0.0056,0.0063,0.5439,,,,0.0364,0.0274,0.379,,,,0.0319,0.0123,0.3029,,
,0.0565,0.0193,0.2363,,,,0.015,0.119,0.0215,,,,0.1111,0.1491,0.1808,,,,0.0043,0.0251,0.5083,,
,0.0014,0.0614,0.7959,,,,0.0045,0.152,0.432,,,,0.0787,0.1084,0.0148,,,,0.0385,0.0541,0.002,,
,0.0716,0.0283,0.3599,,,,0.0171,0.0349,0.3436,,,,0.0538,0.0704,0.3662,,,,0.0199,0.047,0.0102,,
,0.0907,0.2411,3.1945,,,,0.0303,0.0304,0.5147,,,,0.0347,0.1012,1.1233,,,,0.1358,0.0543,0.1033,,
,0.0184,0.1634,0.0175,,,,0.0273,0.0272,0.6488,,,,0.0328,0.1221,0.2119,,,,0.048,0.0973,0.0009,,
,0.0952,0.0214,1.1876,,,,0.0623,0.0793,0.4839,,,,0.004,0.0555,2.1127,,,,0.0358,0.0036,0.023,,
,0.0434,0.0406,0.1508,,,,0.0389,0.0451,0.4865,,,,0.1259,0.0194,0.3905,,,,0.1309,0.0244,0.0005,,
,0.0561,0.2267,3.6239,,,,0.0436,0.0645,0.5456,,,,0.0185,0.1215,1.9098,,,,0.0153,0.0449,0,,
,0.1514,0.0841,0.0236,,,,0.0201,0.0296,0.1117,,,,0.0084,0.0304,0.2364,,,,0.0186,0.0475,0.1341,,
,0.0533,0.4425,0.2954,,,,0.0236,0.1361,0.6144,,,,0.0141,0.0708,0.0129,,,,0.0283,0.0398,0.0021,,
,0.0654,0.7624,0.2428,,,,0.0314,0.067,0.6248,,,,0.1331,0.0119,0.6822,,,,0.0303,0.0562,0.0215,,
,0.1116,0.1128,0.2923,,,,0.0527,0.1155,0.1144,,,,0.0301,0.0436,0.0434,,,,0.0649,0.0256,0.0009,,
,0.0489,0.267,0.1162,,,,0.015,0.0104,7.0783,,,,0.1159,0.0059,0.4603,,,,0.0408,0.0043,0.0011,,
,0.1094,0.0199,3.5103,,,,0.0034,0.0551,0.5033,,,,0.0226,0.1763,0.6097,,,,0.0204,0.0508,0.0037,,
,0.1198,0.0182,1.171,,,,0.0183,0.0632,0.0994,,,,0.0202,0.0077,0.3302,,,,0.0103,0.0211,0.0381,,
,0.0039,0.4961,0.3556,,,,0.0186,0.1433,0.3164,,,,0.0282,0.1797,0.2776,,,,0.0238,0.0243,0.0115,,
,0.1556,0.0061,0.2915,,,,0.0051,0.0951,0.0275,,,,0.0252,0.009,0.5029,,,,0.0537,0.0617,0.7771,,
,0.0166,0.0107,3.5054,,,,0.0037,0.0351,0.6993,,,,0.0502,0.125,0.094,,,,0.0208,0.0026,0.0067,,
,0.1423,0.94,0.2959,,,,0.0307,0.2447,0.2083,,,,0.0148,0.0548,0.21,,,,0.1088,0.0638,0.0115,,
,0.0524,0.098,0.8018,,,,0.0174,0.0073,0.4839,,,,0.1673,0.0021,0.192,,,,0.0833,0.1913,0.0055,,
,0.131,0.0701,1.2827,,,,0.0214,0.0001,19.9064,,,,0.0525,0.0571,0.3823,,,,0.0371,0.009,0.0549,,
,0.0007,0.1181,0.8273,,,,0.0329,0.104,8.1981,,,,0.0088,0.0382,0.4613,,,,0.0371,0.0151,0.0067,,
,0.0213,0.0622,3.2849,,,,0.0251,0.0947,1.2276,,,,0.0761,0.0271,0.0921,,,,0.0346,0.0245,0.0004,,
,0.0659,0.7759,0.3916,,,,0.0437,0.1683,0.0986,,,,0.1053,0.0007,0.1428,,,,0.0453,0.0217,0.0166,,
,0.042,0.0574,0.3764,,,,0.0356,0.2857,0.1128,,,,0.0984,0.001,0.046,,,,0.0349,0.04,0.0093,,
,0.0815,0.3854,0.1626,,,,0.0063,0.0121,0.1035,,,,0.0194,0.1272,0.5029,,,,0.0185,0.0567,0.1322,,
,0.0058,0.149,0.8272,,,,0.0198,0.0555,0.0415,,,,0.1035,0.0731,0.2418,,,,0.0479,0.0315,0.0148,,
,0.0595,0.1001,0.7144,,,,0.0002,0.1375,0.6475,,,,0.0211,0.0456,0.281,,,,0.0111,0.008,0.0726,,
,0.0637,0.4315,0.2302,,,,0.0091,0.0689,0.6605,,,,0.0967,0.0453,0.3095,,,,0.0316,0.2019,0.0096,,
,0.0135,0.2475,1.1985,,,,0.0089,0.23,0.1386,,,,0.0869,0.0005,0.4792,,,,0.072,0.0452,0.0575,,
,0.0502,0.488,2.0317,,,,0.0715,0.0759,20.0658,,,,0.0887,0.1477,1.1157,,,,0.0577,0.1455,0.0731,,
,0.0107,0.1134,0.3169,,,,0.0494,0.1496,0.5044,,,,0.0451,0.0542,0.7721,,,,0.0662,0.0139,0.103,,
