N,2N,3N,I2
0.3002,0.4864,0.3083,0.3172
1.1844,0.4837,0.0467,0.0378
10.9487,19.7182,0.3802,0.005
3.2831,0.1062,0.3691,0.3383
3.493,8.1981,0.006,0.0005
0.0004,0.3433,2.469,0.0131
0.3719,0.3988,0.3987,0.0498
0.2815,0.0995,0.1529,0.386
3.2714,0.0966,0.3849,0.309
1.0156,0.0487,0.5415,0.0339
1.1593,0.0737,1.2335,0.3566
0.2818,0.1164,0.4867,0.7847
0.7963,0.5453,0.4627,0.7881
0.1929,0.5026,1.915,0.1372
1.2749,0.5455,0.3801,0.7992
0.3172,7.9582,0.3364,0.3567
0.1737,19.2432,0.0458,0.0002
0.1732,1.4285,0.3006,0.0249
0.6381,0.0663,2.4691,0.0059
0.1822,0.5031,0.392,0.1081
3.4177,0.4225,0.2423,0.0162
0.3716,0.1009,0.377,0.5053
11.2992,0.0559,2.4605,0.7378
0.1802,0.319,0.1331,0.0024
0.1844,0.1138,0.1327,0.0012
0.0378,0.0296,0.1844,0.0007
0.392,0.5029,0.124,0.01
0.1987,0.5022,0.36,0.0766
0.8274,19.9041,0.2977,0.0018
0.2357,19.3476,0.2151,0.1075
0.4425,0.1168,0.2814,0.0879
0.2183,0.1066,0.0577,0.0356
0.2517,0.0951,0.7735,0.0011
0.2314,0.0431,0.2994,0.1402
0.002,0.3918,0.0157,0.0737
0.3925,0.166,0.0091,0.0017
0.4611,0.0222,0.0517,0.004
0.3093,0.0467,0.4786,0.1368
0.7952,0.4884,0.4021,0.0099
2.1959,0.1493,0.4411,0.4645
0.3591,1.2076,0.4808,0.0111
0.4471,0.4291,0.0462,0.0009
0.8023,0.6529,1.1088,0.1011
1.2086,8.2016,0.6172,0.0068
0.1809,0.4751,0.1477,0.0379
3.413,0.1008,0.3191,0.0047
0.1723,0.0933,0.4785,0.325
0.0134,0.5457,0.3212,0.0004
11.343,0.6334,0.0463,0.3222
0.3127,0.0271,0.1787,0.4443
0.7952,0.2571,0.015,0.1112
0.0274,0.431,0.3374,0.7738
3.4623,0.6595,0.1206,0.8332
11.0818,0.4874,0.1112,0.0081
0.1588,0.1148,0.2679,0.4059
0.2812,0.6558,0.271,0.0105
0.1732,0.5142,0.7726,0.0013
3.5166,19.9881,0.4628,0.0792
0.543,0.1149,2.0762,0.0777
2.1803,0.516,0.1029,0.5024
3.4672,19.2093,0.3025,0.4185
0.7955,0.4863,2.108,0.0182
1.1768,0.6523,0.527,0.0187
0.6735,0.1075,0.5007,0.3974
0.4406,0.4242,2.1132,0.0109
0.15,0.4813,0.1013,0.0073
0.2496,1.2427,0.2388,0.0022
1.1873,0.217,0.3454,0.0659
2.2115,0.6581,1.1119,0.0668
0.1799,0.4836,0.0905,0.0519
0.4595,7.0878,0.0154,0.0723
0.2227,0.6712,0.3322,0.0325
0.1378,7.0491,0.0053,0.0363
0.1825,19.9517,2.4615,0.3329
0.3208,0.3163,0.1314,0.0785
1.1684,1.3405,0.4799,0.0107
0.3185,0.5442,0.8863,0.3192
0.1787,0.1386,2.4548,0.0012
0.2949,0.0995,0.8557,0.0301
1.2777,0.5147,0.8914,0.0998
0.1627,7.0713,0.8889,0.0041
0.1114,8.199,0.4796,0.0791
3.4321,1.319,0.4806,0.3905
0.9903,0.3891,0.4776,0.7898
0.0126,0.1409,0.8534,0.0344
0.5052,0.1021,0.2782,0.0092
0.0204,0.0705,0.7958,0.0006
0.8017,0.0693,0.464,0.0996
0.305,0.3432,0.0151,0.0224
1.1759,0.0699,0.0434,0.3644
0.6146,0.2214,2.0821,0.4897
0.8269,0.1238,0.3116,0.0347
1.1739,0.3908,0.2245,0.0037
0.2351,0.3113,0.1701,0.0042
0.2192,0.0442,0.6252,0.3503
0.637,0.322,0.4613,0.7652
0.3005,1.1464,0.345,0.0108
0.5206,0.4843,0.1996,0.0096
11.2907,0.3142,0.1535,0.0326
0.1123,0.1657,0.0141,0.0015
0.2936,0.0998,0.1928,0.0788
0.2847,7.9541,0.2686,0.3793
0.8274,19.7449,0.4641,0.0103
0.1751,0.5163,0.011,0.5157
0.8272,0.0974,0.4805,0.0142
0.2446,8.0129,0.4187,0.0738
0.1756,0.5039,0.0603,0.0158
0.3,1.2178,0.2048,0.0067
0.4454,0.4264,2.4787,0.0219
3.2611,19.2432,0.6101,0.0025
1.2891,0.0979,0.609,0.0218
0.2906,0.1139,2.1073,0.338
0.6378,0.159,2.0983,0.0151
0.8273,0.1822,0.3017,0.0066
0.282,0.0557,0.4639,0.4942
0.1849,0.1042,0.6152,0.0011
0.0254,0.5162,0.0474,0.0221
0.532,0.4864,0.6718,0.0364
1.1873,0.5171,0.8976,0.0007
0.8276,0.1434,0.0652,0.1015
0.3596,0.1731,0.6146,0.004
0.6142,0.1494,0.1314,0.3411
0.6142,0.6425,0.0432,0.0295
0.245,0.0508,0.4636,0.0896
3.5203,0.5459,0.1759,0.3978
0.3011,0.1151,0.1831,0.0018
0.2057,0.5155,0.2721,0.7691
0.1716,19.9041,0.1112,0.0918
3.2686,0.4867,0.3326,0.744
0.9864,0.6516,0.5282,0.1049
1.2887,0.1311,0.0156,0.0026
2.1119,1.3643,0.4804,0.3206
3.4538,0.114,0.5279,0.0099
1.161,0.5041,0.0143,0.7554
0.3921,1.1818,0.3212,0.0071
1.2876,0.4337,0.465,0.0335
1.09,0.5449,0.0145,0.0183
0.2829,0.5157,0.6133,0.0193
0.0003,0.6556,0.0991,0.3883
3.2194,0.1246,2.1131,0.0074
0.3126,0.3169,0.3949,0.4156
1.151,0.4865,0.1352,0.1038
3.3507,0.0259,0.1842,0.4555
2.2046,0.1422,0.1199,0.0014
11.3296,0.6521,0.0152,0.0012
0.7953,19.9767,0.4794,0.0008
0.2426,0.1317,2.1074,0.0323
0.3217,0.169,0.1057,0.002
0.239,0.1159,2.1055,0.0086
0.0376,0.1277,0.8543,0.0016
0.0351,0.1169,0.6146,0.0021
0.2233,0.6539,1.1192,0.0787
0.1021,0.4774,0.1897,0.0134
0.296,0.1304,0.857,0.5094
2.0379,0.6612,0.2996,0.0324
0.1406,8.1951,2.1207,0.5218
0.5476,0.0467,0.0192,0.0075
0.1745,0.5166,0.3037,0.0141
0.0309,0.0972,0.797,0.3566
0.6142,0.5168,0.5253,0.0024
0.3916,0.5046,0.0888,0.0112
0.1749,0.1142,0.0152,0.0796
0.0093,0.5447,0.3791,0.0017
0.6384,1.3833,0.258,0.3905
0.3053,0.5169,1.112,0.1352
1.1522,0.1479,0.4781,0.0355
0.1046,0.3451,0.4739,0.0127
3.2602,0.1159,0.187,0.0787
0.8027,0.6524,2.1052,0.3126
0.3045,0.5018,0.2524,0.0917
0.6145,0.343,0.8899,0.001
0.3181,0.1565,0.0389,0.0228
1.1146,0.1043,0.4775,0.074
1.0094,0.0999,0.1162,0.0036
0.5035,19.7449,0.0166,0.021
0.0003,0.0615,0.0938,0.0018
0.6153,0.4327,0.3814,0.0023
0.9913,0.5453,0.0145,0.0181
3.2711,0.4827,0.6828,0.0177
0.2459,0.4827,0.1065,0.0286
0.1828,0.3957,0.6727,0.0011
0.2081,0.0576,0.1663,0.0072
0.6366,0.5955,0.3046,0.7974
3.4684,0.2032,0.2298,0.001
0.9972,0.6742,0.5009,0.1061
1.192,0.1157,0.0177,0.0071
0.3181,0.5172,0.0026,0.0742
0.0041,0.487,0.3996,0.1016
3.1519,0.5161,0.0479,0.2701
0.1721,0.5168,0.3048,0.0365
0.1845,0.6755,1.0998,0
0.0195,20.0658,0.8593,0.0015
0.6373,0.5446,0.1198,0.0275
0.0131,0.6521,2.4892,0.0116
0.282,0.0452,0.0812,0.5285
0.242,0.688,0.3632,0.0017
0.1798,8.2187,0.4782,0.0008
1.2056,0.5456,0.3874,0.0767
0.3926,0.4816,1.1408,0.1033
1.1124,0.4871,0.1951,0.0011
0.3902,8.213,0.0944,0.0068
0.2533,0.4825,0.2702,0.7435
0.0095,0.1173,1.9083,0.007
0.3591,0.4874,0.0046,0.7307
1.1059,8.0054,2.4771,0.0012
2.0233,1.3636,0.2938,0.1355
1.1882,0.1152,0.0428,0.7915
1.0036,20.1998,0.2746,0.0001
0.306,0.1499,0.0141,0.3418
0.1759,0.658,0.1091,0.004
0.7963,0.1304,0.1105,0.0356
0.283,0.4893,1.1898,0.0284
3.1455,1.2042,0.4606,0.0024
0.4629,0.145,0.4797,0.0759
0.1905,0.1151,0.4773,0.0132
0.1513,0.544,0.1326,0.0027
3.2128,0.1152,0.105,0.4889
0.8266,0.0683,0.4775,0.0044
0.2951,7.9719,0.5069,0.0004
0.3054,20.1441,2.1216,0.3557
11.3162,0.1459,0.0411,0.0066
0.0035,0.4044,0.3682,0.119
0.4556,0.1567,0.2773,0.0002
0.3036,0.4797,2.4811,0.0034
0.3611,0.5177,0.1008,0.074
1.014,0.5167,0.6263,0.8401
11.3412,0.7044,2.0855,0.0359
0.0002,0.6609,0.889,0.3166
0.2948,0.3169,0.0635,0.072
0.0372,0.1007,0.4796,0.0049
1.2846,0.4783,2.4675,0.0086
1.0155,0.5451,0.0455,0.003
0.636,0.0862,2.4692,0.0016
1.2851,0.0385,0.3487,0.0969
0.3593,0.0263,2.1083,0.0038
2.1454,0.3169,0.0957,0.0076
0.5266,0.1152,0.0268,0.009
1.1728,0.3192,1.1089,0.1219
0.343,0.0988,0.1737,0.0011
0.0303,0.4889,0.0134,0.0037
0.8023,0.4855,0.672,0.0009
3.2607,0.1128,0.4782,0.0018
1.2883,0.668,0.461,0.0451
0.0187,20.158,0.0462,0.7838
0.2014,0.1145,0.0739,0.4164
0.8269,1.361,0.6167,0.0026
1.2035,0.0992,1.9143,0.356
0.1887,0.1463,0.4799,0.1264
0.3919,0.6541,0.168,0.5029
3.4697,0.131,0.1822,0.0358
0.1869,8.0386,2.0976,0.3197
0.2463,0.1132,0.0436,0.0248
0.3185,7.974,0.1033,0.3391
0.3914,0.5027,0.045,0.7529
0.3037,0.481,0.3884,0.0155
0.3183,0.1132,0.1556,0.1162
0.2841,0.5161,0.0174,0.0081
0.1742,0.5153,0.3561,0.0473
0.1109,0.5165,0.1906,0.0121
0.2933,0.1153,0.7736,0.1006
0.0307,7.143,2.099,0.0338
1.1256,20.0543,0.4831,0.1277
0.7963,0.5049,0.2764,0.3524
0.0863,0.1186,0.1823,0.0358
10.9987,0.5457,0.0456,0.0002
0.3587,0.1314,0.1345,0.1345
0.0109,0.1447,0.3636,0.0084
1.2906,7.1276,0.2713,0.0096
0.032,19.9903,0.4609,0.0036
0.2955,8.1299,0.895,0.0069
0.175,0.5449,0.0484,0.075
0.1118,0.504,0.5039,0.0007
0.2472,0.649,0.1282,0.0009
0.2843,0.158,0.0984,0.0006
0.0045,0.099,0.2671,0.0757
0.2269,0.1154,0.044,0.0043
0.2822,0.1062,0.2848,0.0031
10.9872,0.1143,0.3064,0.3173
0.2029,0.1349,0.1029,0.0081
3.2259,1.3284,0.0233,0.0025
0.3142,0.6583,0.6277,0.0027
0.2932,1.2924,2.1235,0.4195
0.8023,0.4816,0.3845,0.0163
1.1356,19.9926,0.0562,0.0013
1.171,0.0593,0.1985,0.0316
0.249,19.4855,0.5419,0.5016
0.6137,0.5449,0.4752,0.0332
0.0352,0.6006,0.0156,0.0329
0.3149,0.4889,0.2697,0.2969
0.6381,0.6603,2.072,0.0041
3.2857,0.1425,1.1729,0.0809
2.1965,0.05,2.0922,0.1046
0.3416,0.1158,2.1221,0.0084
0.1144,0.489,0.4649,0.0079
0.1666,0.1166,0.3775,0.0787
0.2817,19.9903,0.2544,0.5004
0.0042,0.1318,2.467,0.0359
0.0045,0.1126,2.4659,0.1075
1.285,0.3905,0.8602,0.0014
0.4417,0.4858,0.8933,0.0347
2.0527,0.5033,0.1392,0.104
0.2234,0.5019,0.8588,0.0034
0.3045,0.5154,0.4773,0.0003
2.1143,0.684,2.1071,0.0053
0.1956,0.0981,0.2787,0.0049
0.2414,7.0986,0.2164,0.0033
0.0628,0.141,0.2671,0.1471
0.2943,0.0409,0.6722,0.0987
0.1318,0.1413,0.2697,0.1006
0.1787,0.5168,0.0432,0.768
1.1621,0.1022,0.4628,0.0036
0.3216,0.6269,0.0457,0.0039
0.3032,0.0989,0.479,0.3381
0.7951,0.1913,0.3104,0.0039
0.1716,19.7917,2.4734,0.3981
0.1737,0.1112,1.2243,0.0236
0.7961,0.4356,0.0422,0.0003
0.3702,1.2121,0.0468,0.0007
2.146,0.6334,0.0127,0.3474
0.1818,0.5973,0.3499,0.3693
1.1777,0.0989,0.0187,0.1335
10.9803,0.5171,0.0451,0.15
0.1188,0.0288,0.5225,0.3079
0.2503,0.546,0.3854,0.0016
0.3024,0.0377,0.1859,0.0987
1.1788,0.0596,0.0709,0.0004
0.0221,0.1387,0.4797,0.0008
0.0462,0.6573,0.6252,0.0199
0.1523,0.6563,0.4631,0.0102
1.1926,0.3216,0.0743,0.024
0.4345,0.5164,0.0812,0.0007
2.0289,0.1028,1.7767,0.3345
2.1048,0.6745,0.1829,0.3397
0.3168,0.5156,0.1138,0.1261
1.1806,0.1214,0.4036,0.0177
0.3596,0.4882,1.2005,0.3429
1.0012,0.3422,0.1182,0.4905
0.0006,0.099,0.6821,0.0792
0.2339,8.1386,0.8606,0.7605
0.6736,7.9157,0.8531,0.3346
0.0012,0.5028,2.1084,0.0091
0.6373,0.1027,0.7751,0.0234
0.2418,0.3459,0.3022,0.4878
2.199,0.4813,0.8582,0.006
0.4468,0.0979,2.4546,0.0002
0.0223,0.1363,0.6272,0.0027
0.358,0.1588,0.8569,0.806
11.3503,0.6587,0.3289,0.3486
0.1856,0.6488,0.4176,0.1091
3.282,0.4027,0.2998,0.0198
0.705,0.351,0.1825,0.5127
0.6726,0.1129,0.8872,0.0025
0.4434,0.1423,0.174,0.1261
0.3027,0.086,0.4628,0.7932
0.2948,0.5169,0.8572,0.3932
0.0219,1.1801,0.2938,0.0905
0.3196,0.1394,0.0465,0.0002
0.3922,0.1004,0.1166,0.014
1.1667,0.1514,0.4638,0.0408
1.1119,0.1974,0.4787,0.0057
3.2347,0.1062,0.1518,0.138
0.4468,8.199,0.1364,0.0008
0.183,0.1147,0.2952,0.3596
0.2899,0.5034,0.3905,0.3391
0.8268,0.6555,0.8574,0.5135
3.2128,1.2863,0.1798,0.0277
0.4362,1.2201,0.1822,0.0015
11.295,0.668,0.8903,0.0793
0.0036,19.7962,0.1052,0.0003
1.1768,0.5914,0.3422,0.0038
0.2098,0.5028,0.8907,0.0067
3.2645,0.1035,0.0351,0.0146
0.638,0.2075,0.1886,0.0354
0.0874,0.0669,0.4627,0.0086
0.3585,0.5148,0.1802,0.3096
0.3614,1.1642,0.3309,0.4885
0.2055,0.5456,0.3662,0.0065
0.0005,7.075,0.1335,0.0083
0.3195,0.1147,0.0759,0.0007
0.2434,0.3424,0.2153,0.0372
0.3691,0.0571,0.0891,0.0088
0.0148,0.1424,0.7954,0.0888
0.0054,0.4312,0.1924,0.0277
0.3593,0.0567,2.1067,0.0093
0.7963,0.5447,0.0935,0.0027
0.8272,0.0628,0.0131,0.3595
0.6745,0.651,0.4631,0.3167
1.0329,0.489,0.227,0.3171
0.1099,0.5166,0.6139,0.0365
0.2832,0.4823,0.099,0.0008
0.281,7.9503,0.0368,0.5013
0.3591,0.5151,0.112,0.0092
2.1066,0.0619,0.4797,0.0155
0.795,0.4292,0.3789,0.1108
0.252,0.0904,0.0663,0.0019
0.6141,0.121,0.6109,0.0363
0.0119,0.4826,0.475,0.3496
0.3592,0.1662,2.4743,0.8086
3.2534,0.4758,2.1066,0.0071
3.2063,0.4818,0.0407,0.0342
0.7962,7.9674,1.9309,0.4974
0.6734,0.099,0.0137,0.0085
0.2418,19.8007,0.1145,0.0471
0.802,0.6469,0.2641,0.002
0.034,0.4888,1.1445,0.1038
0.7953,0.0899,0.4713,0.3417
1.2912,0.6488,2.4781,0.0271
11.3773,0.1483,0.2439,0.002
1.2759,0.6135,0.1015,0.0005
3.4672,0.0838,0.0999,0.1513
0.2397,0.3973,0.4627,0.0061
0.3196,0.1013,0.2521,0.527
0.3601,0.1947,0.8959,0.0129
0.4601,0.0573,0.6824,0.0354
0.2358,0.4839,0.4794,0.0523
3.1869,1.1935,1.1104,0.0213
0.7951,0.5037,0.2229,0.0203
0.1982,0.6601,0.1716,0.0007
0.1802,0.1409,0.3829,0.035
0.1749,0.5453,0.3417,0.124
0.8269,0.5019,0.3766,0.0026
0.3679,0.1099,0.0611,0.3377
3.5203,19.8838,0.4671,0.3955
0.8267,19.1357,0.188,0.0003
0.3917,0.5036,0.3808,0.0038
0.0777,0.6732,0.2877,0.3137
0.9969,0.1356,2.4549,0.0005
0.4536,0.3414,0.275,0.002
0.9977,0.4277,0.4804,0.0077
0.3915,0.1198,0.4166,0.0003
1.1815,0.4202,0.1838,0.4192
0.032,19.2602,0.1122,0.0168
0.3606,0.3158,0.0501,0.5081
0.2965,0.4761,0.4765,0.3096
0.31,0.4879,0.6088,0.0014
0.3158,0.5162,0.2502,0.0072
0.6726,0.5451,0.6149,0.0761
1.1861,0.5148,0.462,0.3394
0.1223,1.2127,0.8569,0.4176
0.5557,0.1004,0.4639,0.0006
0.1732,0.4858,0.4635,0.0172
0.2941,0.4878,0.0704,0.0529
0.8267,8.1933,1.1249,0.0009
0.3734,7.0595,0.1332,0.0361
3.4237,0.315,0.7708,0.0804
3.2853,0.6977,0.3546,0.5083
0.796,1.3373,2.1031,0.8479
0.3577,0.1499,0.6814,0.3328
0.165,0.4881,0.1165,0.005
0.4951,0.0978,0.4806,0.0009
0.1028,0.0988,0.0144,0.2752
0.8018,0.5162,0.8881,0.1077
0.1834,0.0411,0.3105,0.0249
0.364,0.1381,0.3523,0.3197
0.1343,7.9553,0.6821,0.0031
0.3617,0.4863,1.0893,0.0056
0.6385,0.057,0.4623,0.0346
0.0174,0.6576,0.6096,0.0362
0.2267,1.3481,0.3021,0.0057
0.8263,0.5157,0.1526,0.0005
0.4654,1.2002,0.3695,0.106
0.5023,0.5166,0.4803,0.3235
0.0196,0.6537,0.4804,0.3524
0.2955,0.5039,0.7763,0.0277
0.6731,0.647,0.3419,0.0002
0.7954,0.5797,0.1189,0.0082
0.3713,0.5172,0.4545,0.1077
1.2811,0.1005,0.2403,0.0004
0.795,0.4867,0.8595,0.0242
0.2383,0.4885,0.0159,0.0026
0.2053,0.4831,2.4591,0.328
0.3,0.1161,2.4577,0.0049
0.638,0.0427,0.3812,0.0033
0.034,7.9903,0.3665,0.7603
0.4453,0.6667,2.4729,0.0008
0.8269,0.1486,0.4177,0.0021
0.4469,0.0966,1.819,0.0046
0.1807,0.1657,0.5067,0.0052
0.4537,0.0985,0.0466,0.0768
0.1646,0.1506,0.2788,0.0063
0.1575,8.0028,1.1255,0.3511
0.0027,0.0982,0.0758,0.0057
0.296,20.0269,0.2232,0.4544
0.3598,0.5165,0.0167,0.0334
0.217,0.0904,0.7677,0.0794
0.8017,0.1445,0.1523,0.3032
2.0458,1.3177,0.0437,0.0362
0.2215,0.1447,0.4792,0.1789
0.3145,0.3156,0.0617,0.0025
3.2499,0.5034,0.0446,0.5079
0.3086,0.0991,0.202,0.0323
0.2468,0.0281,0.1196,0.3201
0.2462,0.5043,0.2911,0.1067
0.1948,0.0982,0.8578,0.0003
0.2938,0.1451,0.1874,0.0007
0.2953,0.3156,0.9023,0.0236
0.3605,0.22,0.7735,0.0013
3.5354,0.0765,0.6712,0.4228
2.1865,0.5046,2.1041,0.0339
0.2379,0.5448,0.3765,0.0213
1.1826,0.4841,0.3384,0.0024
0.453,0.1065,2.4793,0.0319
0.0274,0.3252,0.3804,0.7543
0.3008,0.4875,0.0476,0.0017
2.0768,0.1088,0.1235,0.4666
0.1824,0.516,1.213,0.0759
1.1817,0.515,0.6819,0.0204
1.0186,0.0999,0.6082,0.002
0.8027,0.1136,0.8621,0.0806
0.004,0.1117,0.2215,0.0047
0.2059,0.1121,0.1364,0.0208
0.3544,0.4882,0.0125,0.3227
0.302,0.3923,2.4634,0.0011
3.5404,0.1629,0.1269,0.0011
0.0112,19.9222,0.1816,0.0733
0.3924,0.0983,0.0514,0.3414
0.438,0.1851,0.8889,0.099
0.1128,0.6531,0.3092,0.3116
0.3635,0.1165,0.4437,0.7682
0.3618,0.3904,0.3569,0.0212
0.4563,1.3215,1.8919,0.1281
1.2834,0.0581,0.1021,0.0664
0.2866,0.3166,0.0467,0.344
0.2417,0.1624,0.0896,0.0328
1.1664,0.1575,1.2043,0.3553
0.3335,0.4302,0.462,0.0087
0.251,0.2056,0.861,0.0016
0.6376,0.1162,0.2148,0.0066
0.6137,0.399,0.8959,0.0803
0.8267,0.3415,2.1085,0.0029
0.117,0.5037,0.1383,0.001
0.0008,0.059,0.4637,0.3416
0.8015,0.0999,2.4587,0.0785
2.1717,0.1554,0.1894,0.0057
0.6384,0.1725,0.385,0.0379
0.1812,0.5022,0.0646,0.0089
0.1745,0.5463,0.8624,0.7721
0.8025,0.0308,0.8578,0.1
0.4403,0.6556,0.4785,0.5032
0.6138,19.9177,0.133,0.0947
0.291,0.115,0.8592,0.0359
0.0056,0.3984,0.6831,0.0004
11.2798,0.0799,2.4563,0.0368
0.7957,0.6599,0.1776,0.3206
0.2822,0.1128,1.0851,0.0713
0.442,0.4837,0.1768,0.0898
11.2557,0.4887,0.2962,0.0039
0.3931,0.1639,0.0602,0.0351
0.3189,0.1143,2.1137,0.3487
3.2636,0.1003,0.073,0.007
0.614,0.0791,0.1881,0.0001
